,ӫ~(),ӫ~W(W),(gO),HO,ejHR,ejH,eQjHR,eQjH,RP
2026/09/11,BRF    ,Sof,202611  ,0,135,51,139,82,139
2026/09/11,BRF    ,Sof,202611  ,1,0,0,0,0,139
2026/09/11,BRF    ,Sof,999999  ,0,142,53,152,86,152
2026/09/11,BRF    ,Sof,999999  ,1,0,0,0,0,152
2026/09/11,BTF    ,OWͧ޴f,202609  ,0,3,3,3,3,3
2026/09/11,BTF    ,OWͧ޴f,202609  ,1,0,0,0,0,3
2026/09/11,BTF    ,OWͧ޴f,999999  ,0,4,4,4,4,4
2026/09/11,BTF    ,OWͧ޴f,999999  ,1,0,0,0,0,4
2026/09/11,CA     ,nȴf,202609  ,0,2371,4370,2864,5713,6146
2026/09/11,CA     ,nȴf,202609  ,1,1631,4370,1736,5713,6146
2026/09/11,CA     ,nȴf,999999  ,0,3058,6263,3970,8089,9237
2026/09/11,CA     ,nȴf,999999  ,1,2458,6263,2857,8089,9237
2026/09/11,CB     ,f,202609  ,0,1156,2441,1530,2705,2758
2026/09/11,CB     ,f,202609  ,1,106,2139,256,2403,2758
2026/09/11,CB     ,f,999999  ,0,1584,3076,2042,3524,3696
2026/09/11,CB     ,f,999999  ,1,0,2774,190,3222,3696
2026/09/11,CC     ,pqf,202609  ,0,17533,37424,23871,44178,51628
2026/09/11,CC     ,pqf,202609  ,1,0,37424,0,44178,51628
2026/09/11,CC     ,pqf,999999  ,0,28335,57822,42875,79932,100094
2026/09/11,CC     ,pqf,999999  ,1,0,57822,2860,79932,100094
2026/09/11,CD     ,xnqf,202609  ,0,5054,7346,6782,10920,15320
2026/09/11,CD     ,xnqf,202609  ,1,3001,7346,3806,10920,15320
2026/09/11,CD     ,xnqf,999999  ,0,12776,12279,15060,19022,32407
2026/09/11,CD     ,xnqf,999999  ,1,9741,12279,10830,19022,32407
2026/09/11,CE     ,If,202609  ,0,1720,1671,1901,1987,2057
2026/09/11,CE     ,If,202609  ,1,1460,1671,1556,1899,2057
2026/09/11,CE     ,If,999999  ,0,1920,1937,2138,2283,2401
2026/09/11,CE     ,If,999999  ,1,1660,1937,1768,2195,2401
2026/09/11,CF     ,xf,202609  ,0,1611,2224,1865,2552,2690
2026/09/11,CF     ,xf,202609  ,1,968,2224,968,2552,2690
2026/09/11,CF     ,xf,999999  ,0,2328,3791,3000,4307,4599
2026/09/11,CF     ,xf,999999  ,1,948,3791,1067,4307,4599
2026/09/11,CG     ,_f,202609  ,0,2819,2823,3093,3931,4907
2026/09/11,CG     ,_f,202609  ,1,2277,2118,2328,3075,4907
2026/09/11,CG     ,_f,999999  ,0,3808,3431,4837,5231,8884
2026/09/11,CG     ,_f,999999  ,1,3188,2226,3837,2226,8884
2026/09/11,CH     ,͹Ff,202609  ,0,8249,12949,10223,16966,19581
2026/09/11,CH     ,͹Ff,202609  ,1,5567,12949,6794,16572,19581
2026/09/11,CH     ,͹Ff,999999  ,0,10339,27323,13719,31598,34855
2026/09/11,CH     ,͹Ff,999999  ,1,7384,27323,9626,30687,34855
2026/09/11,CJ     ,ثnf,202609  ,0,518,603,588,617,773
2026/09/11,CJ     ,ثnf,202609  ,1,518,422,565,429,773
2026/09/11,CJ     ,ثnf,999999  ,0,651,740,768,809,821
2026/09/11,CJ     ,ثnf,999999  ,1,581,559,688,618,821
2026/09/11,CK     ,f,202609  ,0,1329,1436,1519,1735,1948
2026/09/11,CK     ,f,202609  ,1,1329,1436,1385,1735,1948
