日期,商品名稱,身份別,多方交易口數,多方交易契約金額,空方交易口數,空方交易契約金額,多空交易口數淨額,多空交易契約金額淨額,多方未平倉口數,多方未平倉契約金額,空方未平倉口數,空方未平倉契約金額,多空未平倉口數淨額,多空未平倉契約金額淨額
2026/01/02,臺股期貨,自營商,7971,46660808,8721,51068160,-750,-4407352,4160,24538177,7911,46661279,-3751,-22123102
2026/01/02,臺股期貨,投信,411,2422527,71,418621,340,2003906,32414,191106507,5378,31707612,27036,159398895
2026/01/02,臺股期貨,外資及陸資,43512,254305809,41607,243191853,1905,11113956,23061,135991763,46215,272490720,-23154,-136498957
2026/01/05,臺股期貨,自營商,14288,85968754,15008,90325189,-720,-4356434,4134,25072809,8614,52243162,-4480,-27170353
2026/01/05,臺股期貨,投信,502,3044217,45,272710,457,2771507,32819,198942269,5326,32285147,27493,166657122
2026/01/05,臺股期貨,外資及陸資,73660,441906276,75638,453896818,-1978,-11990543,23747,143995715,48848,296127008,-25101,-152131293
2026/01/06,臺股期貨,自營商,10196,62054443,8097,49261278,2099,12793164,5484,33606398,7915,48519981,-2431,-14913583
2026/01/06,臺股期貨,投信,375,2288797,351,2150481,24,138316,32722,200435407,5205,31882707,27517,168552700
2026/01/06,臺股期貨,外資及陸資,45204,274748577,49583,301457830,-4379,-26709253,21970,134642423,51490,315422118,-29520,-180779695
2026/01/07,臺股期貨,自營商,10549,64474071,10245,62615957,304,1858114,5202,31770876,7283,44496563,-2081,-12725687
2026/01/07,臺股期貨,投信,0,0,536,3272606,-536,-3272606,32218,196632966,5237,31962458,26981,164670508
2026/01/07,臺股期貨,外資及陸資,46379,283425113,46345,283234606,34,190507,22073,134783099,51495,314315216,-29422,-179532117
2026/01/08,臺股期貨,自營商,7802,47603059,9158,55864128,-1356,-8261069,4414,26916146,7791,47505381,-3377,-20589235
2026/01/08,臺股期貨,投信,53,323312,203,1237157,-150,-913845,32068,195345494,5237,31901709,26831,163443785
2026/01/08,臺股期貨,外資及陸資,48574,296220761,45199,275667093,3375,20553668,22422,136645011,48469,295283972,-26047,-158638961
2026/01/09,臺股期貨,自營商,13412,81438194,13220,80291760,192,1146434,4691,28605397,7881,48051508,-3190,-19446111
2026/01/09,臺股期貨,投信,7,42635,285,1735695,-278,-1693061,31828,193851682,5275,32127915,26553,161723767
2026/01/09,臺股期貨,外資及陸資,56933,345984805,57431,349039050,-498,-3054245,22795,138894702,49378,300776313,-26583,-161881611
2026/01/12,臺股期貨,自營商,10183,62462745,9453,57995203,730,4467542,5036,30957380,7493,46071355,-2457,-15113975
2026/01/12,臺股期貨,投信,191,1172801,316,1940244,-125,-767443,31625,194177572,5197,31909580,26428,162267992
2026/01/12,臺股期貨,外資及陸資,47572,291623725,47908,293727902,-336,-2104177,23261,142894192,50153,307979645,-26892,-165085453
2026/01/13,臺股期貨,自營商,13100,80881962,12026,74238859,1074,6643103,5639,34853540,7068,43708822,-1429,-8855282
2026/01/13,臺股期貨,投信,94,580187,206,1269912,-112,-689726,31459,194227938,5143,31752882,26316,162475056
2026/01/13,臺股期貨,外資及陸資,57736,356368291,61073,377065222,-3337,-20696932,23109,142748873,53226,328659641,-30117,-185910768
2026/01/14,臺股期貨,自營商,12341,76557552,11106,68906113,1235,7651439,6766,41967362,6982,43344630,-216,-1377268
2026/01/14,臺股期貨,投信,30,185971,294,1821931,-264,-1635960,31171,193135593,5119,31717324,26052,161418269
2026/01/14,臺股期貨,外資及陸資,48505,300727790,52357,324625325,-3852,-23897535,23313,144532124,57270,354894410,-33957,-210362286
2026/01/15,臺股期貨,自營商,10975,67750935,11318,69885724,-343,-2134789,7373,45834223,7925,49273616,-552,-3439393
2026/01/15,臺股期貨,投信,508,3154123,49,303102,459,2851021,31630,196422796,5119,31788990,26511,164633806
2026/01/15,臺股期貨,外資及陸資,53630,330860105,53870,332365711,-240,-1505605,23635,146828653,58765,364988548,-35130,-218159895
2026/01/16,臺股期貨,自營商,16195,101612754,15733,98753159,462,2859595,6851,43157676,6968,43937463,-117,-779787
2026/01/16,臺股期貨,投信,616,3880969,130,818442,486,3062527,32030,201639642,5033,31683742,26997,169955900
2026/01/16,臺股期貨,外資及陸資,74313,466366244,72424,454468188,1889,11898056,26095,164446420,59344,373689686,-33249,-209243266
2026/01/19,臺股期貨,自營商,13182,83093563,12892,81351854,290,1741709,7522,47687341,7366,46790485,156,896856
2026/01/19,臺股期貨,投信,19505,123611938,19308,122035110,197,1576827,32149,204050106,4955,31453408,27194,172596698
2026/01/19,臺股期貨,外資及陸資,79052,498427775,79529,501701050,-477,-3273275,22781,144601937,56507,358457207,-33726,-213855270
2026/01/20,臺股期貨,自營商,14058,88900540,13718,86825822,340,2074718,7182,45539332,6699,42584949,483,2954383
2026/01/20,臺股期貨,投信,14315,91008089,14543,92201276,-228,-1193187,31920,202899262,4950,31476060,26970,171423202
2026/01/20,臺股期貨,外資及陸資,77565,490688936,76528,484343719,1037,6345217,21969,139618088,54644,347080816,-32675,-207462728
