資料月 11508,價格日 2026-09-10,加權 46940,季線 45216,閘門 開,自60日高 -1.7%
代號,名稱,子產業,階段,擴散度,當月YoY%,上月YoY%,累計YoY%,收盤,乖離20MA%,60MA(出清線),量(張),備註
2344,華邦電,記憶體,成熟(第10條擋),77%,289,292,177,179.5,0.2,176.1,67914,受市場供需影響。
3167,大量,PCB設備,候選期,75%,153,153,135,848.0,10.3,740.0,5673,主係因客戶需求量增加所致
6442,光聖,光通訊_CPO,候選期,78%,152,49,43,1800.0,10.0,1537.8,4008,市場需求增加
6531,愛普*,IC設計_ASIC,候選期,20%,151,145,109,1030.0,12.5,900.2,6397,因市場需求相對增加所致
8996,高力,散熱,擴散中,57%,113,58,115,1300.0,6.7,1207.9,4932,"說明:本年累計營收較去年同期增加115.03%,主要係板式熱交換器及熱能產品年度"
3443,創意,IC設計_ASIC,候選期,20%,111,158,104,6225.0,7.3,4889.4,1829,主要因晶圓產品收入增加
3653,健策,散熱,擴散中,57%,91,91,43,5790.0,4.1,4265.4,633,因客戶端需求成長，致本月較去年同期增加百分比達50%以上。
6770,力積電,晶圓代工,主軸(未滿3月),75%,76,71,47,73.5,3.8,69.8,144134,主係客戶需求上升，銷售量增加，銷售價格調漲。
2464,盟立,半導體設備材料,擴散中,57%,74,62,31,193.5,0.3,172.0,14845,主要係本公司半導體自動化設備相關訂單增加所致。
3044,健鼎,PCB_CCL,成熟(第10條擋),69%,65,57,39,503.0,3.5,461.2,2862,主係因客戶訂單需求及出貨增加所致
2351,順德,導線架封裝材料,主軸(未滿3月),67%,61,54,32,235.5,10.8,192.6,10269,主係客戶應用於AI領域之電源管理需求強勁，車用領域所需之導線架亦逐步復甦，客戶之
2605,新興,航運,候選期,80%,59,36,39,36.25,1.9,32.6,24763,受運價維持高檔影響，本月營業收入較去年同期顯著增加。
3017,奇鋐,散熱,擴散中,57%,54,57,76,3460.0,7.1,2718.4,2574,"因客戶需求增加,使營收成長"
2330,台積電,晶圓代工,主軸(未滿3月),75%,53,45,39,2450.0,1.6,2399.2,19835,因先進製程產品需求增加所致。
1597,直得,機器人自動化,候選期,100%,45,48,45,148.0,3.8,139.6,1766,-

— 以下排除，不列入規則帳戶 —
7788,松川精密,連接器線材,候選期,50%,66,99,41,308.0,5.2,257.3,6140,主要客戶訂單增加致營收成長。,對照表 v3 (2026-09-09) 補入連接器線材而出現；係因提問而起，排除
