代號,名稱,市場,產業,當月營收(千元),當月YoY%,累計YoY%,第二月依據,公司備註
4113,聯上,上櫃,建材營造,581140.0,1096390.6,41.6,累計YoY 41.6%（無上月快照）,不動產於過戶時點認列營收，故波動較大。
6219,富旺,上櫃,建材營造,718148.0,316264.8,28194.6,累計YoY 28194.6%（無上月快照）,因建案完工入帳時間差異，本月營業收入及累計營業收入較去年同期產生較大波動。
4416,三圓,上櫃,建材營造,514602.0,5471.7,485.2,累計YoY 485.2%（無上月快照）,出售資產
2509,全坤建,上市,建材營造,1074517.0,5220.2,686.4,累計YoY 686.4%（無上月快照）,"本月營收及累計營收較去年同期增加,主要係完工認列全坤X101案售屋收入所致."
1418,東華,上市,紡織纖維,834.0,4533.3,19.5,累計YoY 19.5%（無上月快照）,配合客戶生產線出貨
1808,潤隆,上市,建材營造,1101405.0,3460.2,13488.3,累計YoY 13488.3%（無上月快照）,營收變動主要係本年度完工建案已陸續過戶交屋認列房地出售收入所致。
7740,熙特爾-創,上市,綠能環保,924253.0,1528.8,1510.8,累計YoY 1510.8%（無上月快照）,本月及本年營收較去年同期營收增加，主要係因依專案進度認列收入所致。
8926,台汽電,上市,油電燃氣業,6147340.0,1459.1,776.0,累計YoY 776.0%（無上月快照）,本月及累計合併營業收入較去年同期增加，主要係自115年起因將森霸、星 電、星元納入為子公司，故併入合併營收計算。
5525,順天,上市,建材營造,460075.0,1384.3,1413.1,累計YoY 1413.1%（無上月快照）,本月及本年累計營收較去年同期增加，係因今年母公司ONE 33及緮華完工交屋收入所致
9946,三發地產,上市,建材營造,44893.0,1180.8,3975.1,累計YoY 3975.1%（無上月快照）,本月及累月營收較去年同期增加，係因本月預售建案完工交屋入帳所致。
3073,天方能源,上櫃,綠能環保,52881.0,1107.9,314.7,累計YoY 314.7%（無上月快照）,營收增加主要為認列新電廠之試運轉期收入。
3535,晶彩科,上市,光電業,52322.0,1057.6,435.7,累計YoY 435.7%（無上月快照）,本公司以銷售機台為主，115年累計出售機台較去年同期增加，此為產業特性，尚屬正常。
2348,海悅,上市,其他,2077742.0,982.2,50.9,累計YoY 50.9%（無上月快照）,本月及本年度增減百分比達50％以上，係因本期認列新知段及後壁田段等建案營建收入
3629,地心引力,上櫃,文化創意業,5525.0,972.8,4456.3,累計YoY 4456.3%（無上月快照）,4556.44
7610,聯友金屬-創,上市,綠能環保,970895.0,722.0,509.7,累計YoY 509.7%（無上月快照）,7月單月及累積合併營收較去年同期分別增加722%及510%，主要在於鎢製品出貨量及出貨價格較去年同期增加所致。
2408,南亞科,上市,半導體業,43867609.0,719.6,660.9,累計YoY 660.9%（無上月快照）,受市場需求成長影響。
5386,青雲,上櫃,電腦及週邊設備業,1992270.0,716.2,522.0,累計YoY 522.0%（無上月快照）,本期及累計營收增加主要係記憶體模組、顯卡及伺服器銷售成長所致
3498,陽程,上櫃,其他電子業,429406.0,712.6,132.4,累計YoY 132.4%（無上月快照）,本月可完工案件較多所致
6265,方土昶,上櫃,電子通路業,631916.0,712.4,734.1,累計YoY 734.1%（無上月快照）,受市場需求成長影響
5289,宜鼎,上櫃,電腦及週邊設備業,8494810.0,636.5,548.8,累計YoY 548.8%（無上月快照）,本月營收及本年累計營收較去年同期增加係因出貨量增加及銷售單價上漲所致
5351,鈺創,上櫃,半導體業,2125060.0,590.8,481.1,累計YoY 481.1%（無上月快照）,本月營收及本年累計營收皆較去年同期增加，主係市場需求增加所致。
4529,淳紳,上櫃,其他,3015.0,549.8,309.0,累計YoY 309.0%（無上月快照）,"115/3月起加計子公司萊陽, 115/4月起加計金萊陽, 致營收增加."
8096,擎亞,上櫃,電子通路業,10407626.0,523.8,64.5,累計YoY 64.5%（無上月快照）,因伺服器記憶體出貨量增加，致使營收較去年同期成長
3006,晶豪科,上市,半導體業,6784662.0,491.1,281.5,累計YoY 281.5%（無上月快照）,本期營收較前期成長係因產品市場供需因素所致
6419,京晨科,上櫃,光電業,171113.0,474.5,195.3,累計YoY 195.3%（無上月快照）,美國子公司陸續接獲專案建置工程，致使營收增加
6177,達麗,上市,建材營造,1101399.0,470.0,637.8,累計YoY 637.8%（無上月快照）,本期營收較去年同期上升，主係本期「後壁田段三」完工過戶所致。
1595,川寶,上櫃,半導體業,111520.0,468.0,26.6,累計YoY 26.6%（無上月快照）,主係本月設備出貨增加所致
7828,創新服務,上櫃,半導體業,129614.0,397.2,235.8,累計YoY 235.8%（無上月快照）,"本月及累計營收成長顯著,主係終端需求強勁帶動設備出貨量提升。目前訂單能見度良好,後續將依時程持續交付,營運動能維持成長趨勢"
8299,群聯,上櫃,半導體業,27161687.0,377.6,263.5,累計YoY 263.5%（無上月快照）,係總出貨量及均價增加
8291,尚茂,上櫃,電子零組件業,271.0,359.3,200.4,累計YoY 200.4%（無上月快照）,2026 年 7 月營收較去年同期增加，主係訂單增加所致。
2059,川湖,上市,電子零組件業,6407256.0,355.5,136.6,累計YoY 136.6%（無上月快照）,新產品開始出貨，導致年對年營收增幅較大。
3713,新晶投控,上櫃,綠能環保,62589.0,336.4,82.9,累計YoY 82.9%（無上月快照）,綠電轉售電平台於去年底開始售電，使本期較去年同期增加
8112,至上,上市,電子通路業,76873576.0,333.5,180.4,累計YoY 180.4%（無上月快照）,營收大幅成長，主要係記憶體等零組件價格持續上漲，伺服器及手機客戶拉貨動能強勁所致。
3260,威剛,上櫃,半導體業,18379079.0,331.3,206.7,累計YoY 206.7%（無上月快照）,記憶體售價上漲
5345,馥鴻,上櫃,其他,2685.0,328.9,539.0,累計YoY 539.0%（無上月快照）,主係產品線成熟且結合經銷商銷售動能，導致較去年同期增加。
6199,天品,上櫃,其他,77561.0,316.3,679.0,累計YoY 679.0%（無上月快照）,"主係伺服器潔淨較去年本月增加56,569仟元，較去年累計增加351,465仟元;殯葬部份較去年累計增加135,135仟元。"
2451,創見,上市,半導體業,5195090.0,307.7,402.7,累計YoY 402.7%（無上月快照）,本月營收較去年同期增加主係市場價格上漲所致
6179,亞通,上櫃,其他,1097072.0,298.4,121.1,累計YoY 121.1%（無上月快照）,係因本期&#12079;程投&#12042;較去年同期增加所致
2344,華邦電,上市,半導體業,26773179.0,291.5,161.0,累計YoY 161.0%（無上月快照）,受市場供需影響。
8171,天宇,上櫃,綠能環保,80034.0,287.8,95.2,累計YoY 95.2%（無上月快照）,本月及本年累計營收較去年同期增加主要係太陽能及儲能工程收入增加所致
7711,永擎,上市,電腦及週邊設備業,5143796.0,286.2,70.8,累計YoY 70.8%（無上月快照）,客戶需求強勁
2465,麗臺,上市,電腦及週邊設備業,1070629.0,280.9,176.7,累計YoY 176.7%（無上月快照）,本月及本年累計營收較去年同期分別增加280.88%及176.72%，主係受惠於全球市場之人工智能應用相關產品需求所致。
3041,揚智,上市,半導體業,184990.0,270.6,61.1,累計YoY 61.1%（無上月快照）,去年受國際情勢影響代理商下單保守，今年需求回穩，營收成長。
5534,長虹,上市,建材營造,906787.0,269.8,63.4,累計YoY 63.4%（無上月快照）,本月營收較去年同期增加，主要係因本月過戶交屋數額較去年同期增加所致。
4772,台特化,上櫃,化學工業,324218.0,269.3,263.8,累計YoY 263.8%（無上月快照）,合併弘潔科技營業收入
6640,均華,上櫃,半導體業,688933.0,266.0,72.7,累計YoY 72.7%（無上月快照）,配合客戶出貨
5475,德宏,上櫃,電子零組件業,229336.0,264.0,149.9,累計YoY 149.9%（無上月快照）,市場價格及需求數量上漲
2073,雄順,上櫃,鋼鐵工業,147018.0,247.8,58.0,累計YoY 58.0%（無上月快照）,主因今年第二季起開始增加購料含料自製生產銷售，使得營業收入增加。
6576,逸達,上櫃,生技醫療業,30280.0,242.1,26.5,累計YoY 26.5%（無上月快照）,本月營收較去年同期增加，係因前期未有銷貨收入所致。
2442,新美齊,上市,建材營造,47983.0,233.9,396.7,累計YoY 396.7%（無上月快照）,本年累計營收較去年同期增加，主係本期營建專案交屋認列收入增加所致。
4973,廣穎電通,上櫃,半導體業,1008161.0,228.1,126.7,累計YoY 126.7%（無上月快照）,本月營收較去年同期增加係因市場價格上漲所致
6425,易發,上櫃,電機機械,178759.0,226.9,51.7,累計YoY 51.7%（無上月快照）,因應客戶產能建置，以致使我司營收相較去年同期增加。
6541,泰福-KY,上市,生技醫療業,53787.0,218.6,258.4,累計YoY 258.4%（無上月快照）,CDMO業務主要採完工比例認列，依投入工時計算。
5514,三豐,上櫃,建材營造,1528.0,217.0,19921.8,累計YoY 19921.8%（無上月快照）,本月營收因認列委建收入，致使較去年同期增加。本年累計營收因委建及三豐AIT完工認列收入，致使本年累計營收較去年同期增加。
8487,愛爾達-創,上市,數位雲端,272891.0,207.5,80.3,累計YoY 80.3%（無上月快照）,月營收年增率207.49%、年營收年增率80.32%，主係本月轉播FIFA世界盃足球賽所致。
3135,凌航,上市,半導體業,1967120.0,204.3,247.3,累計YoY 247.3%（無上月快照）,市場價格上漲及需求增加。
6654,天正國際,上櫃,其他電子業,90547.0,203.5,116.8,累計YoY 116.8%（無上月快照）,主係因為客戶需求增加及新設備出貨所致
7750,新代,上市,電機機械,2869712.0,202.6,95.4,累計YoY 95.4%（無上月快照）,開發客戶及穩固市場關係策略，成果持續發酵。
2025,千興,上市,鋼鐵工業,112761.0,200.8,144.7,累計YoY 144.7%（無上月快照）,本月及本年營收較去年同期增加，係因鎳價上漲帶動不銹鋼售價提高，另一因素為去年基期較低，造成增加數大幅成長。
6907,雅特力-KY,上櫃,半導體業,402798.0,198.5,104.9,累計YoY 104.9%（無上月快照）,終端市場需求成長帶動營收大幅增加
2305,全友,上市,電腦及週邊設備業,178558.0,197.8,96.8,累計YoY 96.8%（無上月快照）,"受惠於AI及大數據發展,光電子設備需求強勁"
4154,樂威科-KY,上櫃,其他,5455.0,197.4,57.5,累計YoY 57.5%（無上月快照）,115年7月增加服飾配件銷售業務、泰國房屋租賃維持滿租，故營收增加。
6933,AMAX-KY,上市,電腦及週邊設備業,1439432.0,197.4,36.6,累計YoY 36.6%（無上月快照）,本期營收受惠於核心產品市場需求持續成長，相關業務穩健推進，帶動整體營運規模擴大，並逐步展現AI基礎設施市場布局成效。
2542,興富發,上市,建材營造,4808113.0,196.6,404.3,累計YoY 404.3%（無上月快照）,本期較去年同期增加，係本期認列「青山440」、「福山案」、「復興北」、「VVS1」、「市政愛&#24742;」等新建案收入所致。
8047,星雲,上櫃,其他電子業,87002.0,193.6,32.8,累計YoY 32.8%（無上月快照）,主係新增合併個體-天良
5522,遠雄,上市,建材營造,3552998.0,189.2,453.3,累計YoY 453.3%（無上月快照）,本月及截至本月累計營收較去年同期增加，主要係交屋量較去年同期完工可交屋成屋量增加所致。
2438,翔耀,上市,光電業,137900.0,185.6,60.8,累計YoY 60.8%（無上月快照）,因國軍服裝供售案營運實質改變，自115年起營收認列方式由代採購淨額利潤認列營收改為實質買賣銷售認列營收，因此較去年同期增加
6589,台康生技,上市,生技醫療業,211799.0,184.0,70.9,累計YoY 70.9%（無上月快照）,本月及本年營收較去年同期增加主係自有產品之授權金逐步認列及CDMO業務成長所致。
3631,晟楠,上櫃,電子零組件業,6997.0,181.8,43.0,累計YoY 43.0%（無上月快照）,本月收入較去年同期營收增多肇因於錫价上漲50%多
2337,旺宏,上市,半導體業,7724730.0,180.5,137.8,累計YoY 137.8%（無上月快照）,受市場需求增加影響。
6691,洋基工程,上市,其他電子業,4763774.0,177.1,98.1,累計YoY 98.1%（無上月快照）,本月營收較去年同期增加177.06%，主要係因本月正在投入進行的專案較去年同期增加所致。
3081,聯亞,上櫃,通信網路業,501210.0,176.5,121.0,累計YoY 121.0%（無上月快照）,數據中心產品出貨量較同期增加
2360,致茂,上市,其他電子業,5434240.0,175.3,101.5,累計YoY 101.5%（無上月快照）,訂單增長，營運動能強勁
6111,光聚晶電,上櫃,文化創意業,1149419.0,174.7,152.1,累計YoY 152.1%（無上月快照）,新增子公司光罩(股票代號:2338)營收
2724,藝舍-KY,上櫃,其他,34185.0,174.6,44.6,累計YoY 44.6%（無上月快照）,營收增加係因代銷個案銷售及裝潢收入成長所致。
6113,亞矽,上櫃,電子通路業,120638.0,170.4,64.9,累計YoY 64.9%（無上月快照）,產品需求增加所致
5508,永信建,上櫃,建材營造,275059.0,170.3,42.5,累計YoY 42.5%（無上月快照）,營收隨完工案量多寡而變化乃屬建設業特性，故本期業績大幅成長尚屬合理。
5443,均豪,上櫃,半導體業,837103.0,165.6,22.4,累計YoY 22.4%（無上月快照）,配合客戶出貨
8271,宇瞻,上市,半導體業,2791191.0,165.0,235.5,累計YoY 235.5%（無上月快照）,本月營收較去年同期增加係因市場價格大幅上漲所致
4934,太極,上市,光電業,16682.0,163.9,157.9,累計YoY 157.9%（無上月快照）,受惠於子公司營收挹注，本月及累計營收較去年同期成長。
3266,昇陽,上市,建材營造,177536.0,163.1,66.1,累計YoY 66.1%（無上月快照）,因營建收入受政策、全部完工法及建案規模不同等影響，故營收波動較大。
6903,巨漢,上櫃,其他電子業,600396.0,160.9,254.5,累計YoY 254.5%（無上月快照）,本月營收較去年同期增加50%以上，主係目前進行中之專案本月進入施工高峰期所致
4931,新盛力,上櫃,電腦及週邊設備業,449435.0,159.5,82.0,累計YoY 82.0%（無上月快照）,因資料中心需求上升，故本月及本年累計營收較去年同期增加。
3443,創意,上市,半導體業,5769170.0,158.4,102.5,累計YoY 102.5%（無上月快照）,主要為晶圓產品收入增加
6152,百一,上市,通信網路業,302252.0,156.1,45.6,累計YoY 45.6%（無上月快照）,客戶需求增加
6515,穎崴,上市,半導體業,1600351.0,155.6,82.3,累計YoY 82.3%（無上月快照）,受惠於全球AI及HPC客戶需求持續強勁，高階測試座Coaxial Socket及 MEMS 探針卡持續拉貨，本月營收變動達50%以上。
3167,大量,上市,電機機械,1146916.0,152.9,131.8,累計YoY 131.8%（無上月快照）,主係因客戶需求量增加所致
2547,日勝生,上市,建材營造,1221328.0,152.3,60.2,累計YoY 60.2%（無上月快照）,本月及本年度增加除工案工進增加外，主係建案完工陸續交屋所致。
