日期,代號,名稱,動作,股數,價格,實現損益
2026-02-11,1529,樂事綠能,進場YoY277%,20040,24.95,
2026-02-11,2363,矽統,進場YoY172%,9090,55.0,
2026-02-11,3528,安馳,進場YoY152%,6934,72.1,
2026-02-11,3017,奇鋐,進場YoY150%,311,1605.0,
2026-02-11,8210,勤誠,進場YoY137%,512,975.0,
2026-02-11,2467,志聖,進場YoY124%,1831,273.0,
2026-02-11,4934,太極,進場YoY118%,30769,16.25,
2026-02-11,6805,富世達,進場YoY116%,323,1545.0,
2026-02-11,2208,台船,進場YoY75%,21276,23.5,
2026-02-11,2360,致茂,進場YoY72%,463,1050.0,
2026-02-11,1714,和桐,進場YoY58%,1019,9.25,
2026-02-23,8210,勤誠,出清60MA/前低,512,890.0,-43520
2026-02-23,2485,兆赫,進場YoY163%,11009,40.4,
2026-02-23,1597,直得,進場YoY40%,101,81.4,
2026-02-26,1597,直得,減1/3破20MA,33,78.3,-102
2026-03-02,1597,直得,回補站回20MA,33,81.2,
2026-03-04,2363,矽統,出清60MA/前低,9090,48.4,-59994
2026-03-04,3528,安馳,出清60MA/前低,6934,66.3,-40217
2026-03-04,1597,直得,出清60MA/前低,101,72.3,-913
2026-03-04,2406,國碩,進場YoY189%,16860,31.65,
2026-03-04,3167,大量,進場YoY120%,1358,266.0,
2026-03-05,8213,志超,進場YoY34%,183,37.2,
2026-03-06,2208,台船,減1/3破20MA,7092,22.05,-10283
2026-03-09,2208,台船,出清60MA/前低,14184,20.15,-47516
2026-03-09,4989,榮科,進場YoY170%,7028,61.4,
2026-03-11,8213,志超,減1/3破20MA,61,36.45,-46
2026-03-12,8213,志超,出清60MA/前低,122,34.55,-323
2026-03-12,4739,康普,進場YoY192%,189,75.9,
2026-03-16,1714,和桐,減1/3破20MA,339,9.38,44
2026-03-17,1714,和桐,回補站回20MA,339,9.84,
2026-03-23,2467,志聖,拋物線全出10MA,1831,355.5,151058
2026-03-23,2451,創見,進場YoY246%,2231,272.0,
2026-03-24,1529,樂事綠能,減1/3破20MA,6680,25.2,1670
2026-03-24,4934,太極,減1/3破20MA,10256,17.7,14871
2026-03-25,1714,和桐,減1/3破20MA,339,9.64,66
2026-03-25,4989,榮科,拋物線全出10MA,7028,67.0,39357
2026-03-25,8271,宇瞻,進場YoY194%,3849,160.0,
2026-03-26,2451,創見,拋物線全出10MA,2231,242.0,-66930
2026-03-26,6531,愛普*,進場YoY147%,1199,509.0,
2026-03-27,1714,和桐,回補站回20MA,339,9.7,
2026-03-30,1529,樂事綠能,出清60MA/前低,13360,23.55,-18704
2026-03-30,8271,宇瞻,拋物線全出10MA,3849,144.0,-61584
2026-03-30,5484,慧友,進場YoY184%,13877,43.25,
2026-03-30,2345,智邦,進場YoY83%,258,1635.0,
2026-03-31,4934,太極,出清60MA/前低,20513,16.3,1026
2026-03-31,6531,愛普*,出清60MA/前低,1199,442.0,-80333
2026-04-01,2406,國碩,減1/3破20MA,5620,32.5,4777
