日期,代號,名稱,動作,股數,價格,實現損益
2026-02-11,1529,樂事綠能,進場YoY277%,20040,24.95,
2026-02-11,2467,志聖,進場YoY124%,1831,273.0,
2026-02-11,4934,太極,進場YoY118%,30769,16.25,
2026-02-11,2360,致茂,進場YoY72%,476,1050.0,
2026-02-11,8046,南電,進場YoY45%,1201,416.0,
2026-02-11,2449,京元電子,進場YoY41%,1594,313.5,
2026-02-11,2308,台達電,進場YoY33%,396,1260.0,
2026-02-23,2485,兆赫,進場YoY163%,12793,40.4,
2026-02-23,2344,華邦電,進場YoY94%,4494,115.0,
2026-02-23,2368,金像電,進場YoY69%,553,818.0,
2026-03-03,1312,國喬,進場YoY84%,654,13.4,
2026-03-05,2344,華邦電,減1/3破20MA,1498,112.0,-4494
2026-03-05,2406,國碩,進場YoY189%,5160,31.75,
2026-03-06,2449,京元電子,減1/3破20MA,531,284.5,-15399
2026-03-24,1529,樂事綠能,減1/3破20MA,6680,25.2,1670
2026-03-24,4934,太極,減1/3破20MA,10256,17.7,14871
2026-03-24,2449,京元電子,出清60MA/前低,1063,278.5,-37205
2026-03-24,2344,華邦電,出清60MA/前低,2996,99.5,-46438
2026-03-24,2451,創見,進場YoY246%,2355,253.0,
2026-03-24,8271,宇瞻,進場YoY194%,3171,153.5,
2026-03-30,1529,樂事綠能,出清60MA/前低,13360,23.55,-18704
2026-03-30,2451,創見,出清60MA/前低,2355,228.0,-58875
2026-03-30,8271,宇瞻,減1/3破20MA,1057,144.0,-10042
2026-03-30,4739,康普,進場YoY192%,7529,81.8,
2026-03-30,2345,智邦,進場YoY83%,234,1635.0,
2026-03-31,4934,太極,出清60MA/前低,20513,16.3,1026
2026-03-31,2360,致茂,拋物線全出10MA,476,1465.0,197540
2026-03-31,8046,南電,拋物線全出10MA,1201,522.0,127306
2026-03-31,2308,台達電,減1/3破20MA,132,1380.0,15840
2026-03-31,2368,金像電,拋物線全出10MA,553,860.0,23226
2026-03-31,1312,國喬,減1/3破20MA,218,13.35,-11
2026-03-31,2406,國碩,減1/3破20MA,1720,32.7,1634
2026-03-31,8271,宇瞻,拋物線全出10MA,2114,130.0,-49679
2026-03-31,4739,康普,減1/3破20MA,2509,77.5,-10789
