日期,代號,名稱,動作,股數,價格,實現損益
2025-09-01,,,月權益,,200000000,
2025-09-30,,,月權益,,200000000,
2025-10-01,,,月權益,,200000000,
2025-10-31,,,月權益,,200000000,
2025-11-28,,,月權益,,200000000,
2025-12-01,,,月權益,,200000000,
2025-12-31,,,月權益,,200000000,
2026-01-30,,,月權益,,200000000,
2026-02-11,3017,奇鋐,進場YoY150% 散熱/無 累計150 乖離9.2 量比1.08 大盤乖離13.6 名次12,623,1605.0,
2026-02-11,8210,勤誠,進場YoY137% 機殼導軌/主軸 累計137 乖離2.7 量比1.16 大盤乖離13.6 名次14,1025,975.0,
2026-02-11,2467,志聖,進場YoY124% PCB設備/無 累計124 乖離7.1 量比1.07 大盤乖離13.6 名次17,3663,273.0,
2026-02-11,2382,廣達,進場YoY62% 伺服器ODM/無 累計62 乖離1.6 量比0.88 大盤乖離13.6 名次48,3496,286.0,
2026-02-11,8046,南電,進場YoY45% PCB_CCL/無 累計45 乖離11.8 量比1.26 大盤乖離13.6 名次65,2403,416.0,
2026-02-11,6213,聯茂,進場YoY42% PCB_CCL/無 累計42 乖離4.8 量比1.42 大盤乖離13.6 名次69,8264,121.0,
2026-02-11,2449,京元電子,進場YoY41% 封裝測試/無 累計41 乖離8.6 量比0.78 大盤乖離13.6 名次70,3189,313.5,
2026-02-11,2308,台達電,進場YoY33% 電源/無 累計33 乖離5.7 量比1.11 大盤乖離13.6 名次86,793,1260.0,
2026-02-23,8210,勤誠,出清,1025,890.0,-87125
2026-02-23,2485,兆赫,進場YoY163% 網通交換器/無 累計163 乖離3.9 量比1.01 大盤乖離13.7 名次9,24754,40.4,
2026-02-23,2344,華邦電,進場YoY94% 記憶體/主軸 累計94 乖離3.4 量比0.71 大盤乖離13.7 名次27,8696,115.0,
2026-02-23,2368,金像電,進場YoY69% PCB_CCL/無 累計69 乖離14.3 量比0.92 大盤乖離13.7 名次44,1222,818.0,
2026-02-23,1597,直得,進場YoY40% 機器人自動化/無 累計40 乖離0.8 量比1.81 大盤乖離13.7 名次73,12285,81.4,
2026-02-23,6515,穎崴,進場YoY33% 封裝測試/無 累計33 乖離12.2 量比0.78 大盤乖離13.7 名次87,213,4695.0,
2026-02-24,3006,晶豪科,進場YoY129% 記憶體/主軸 累計129 乖離3.4 量比1.67 大盤乖離16.3 名次15,6002,167.0,
2026-02-26,2345,智邦,進場YoY72% 網通交換器/無 累計72 乖離12.6 量比0.94 大盤乖離17.6 名次42,718,1400.0,
2026-02-26,2317,鴻海,進場YoY36% 伺服器ODM/無 累計36 乖離8.5 量比1.14 大盤乖離17.6 名次79,4136,243.0,
2026-02-26,,,月權益,,201039266.46925753,
2026-03-02,6669,緯穎,進場YoY122% 伺服器ODM/無 累計122 乖離10.4 量比1.10 大盤乖離16.0 名次18,242,4150.0,
2026-03-02,4739,康普,進場YoY109% PCB_CCL/無 累計109 乖離11.0 量比1.18 大盤乖離16.0 名次23,12715,79.1,
2026-03-02,6239,力成,進場YoY43% 封裝測試/無 累計43 乖離0.5 量比1.00 大盤乖離16.0 名次68,3975,253.0,
2026-03-03,2383,台光電,進場YoY55% PCB_CCL/無 累計55 乖離13.8 量比1.16 大盤乖離12.9 名次57,432,2320.0,
2026-03-03,2337,旺宏,進場YoY51% 記憶體/主軸 累計51 乖離12.9 量比1.39 大盤乖離12.9 名次60,9605,104.5,
2026-03-04,2382,廣達,出清,3496,281.0,-17480
2026-03-04,1597,直得,出清,12285,72.3,-111794
2026-03-04,2317,鴻海,出清,4136,217.0,-107536
2026-03-04,6669,緯穎,出清,242,3910.0,-58080
2026-03-04,4739,康普,出清,12715,67.7,-144951
2026-03-04,3167,大量,進場YoY120% PCB設備/無 累計120 乖離5.8 量比0.69 大盤乖離7.7 名次19,3746,266.0,
2026-03-04,2404,漢唐,進場YoY59% 半導體設備材料/無 累計59 乖離3.9 量比0.81 大盤乖離7.7 名次52,996,1000.0,
2026-03-09,6213,聯茂,出清,8264,115.0,-49584
2026-03-09,6239,力成,出清,3975,202.5,-200738
2026-03-10,8271,宇瞻,進場YoY233% 記憶體/主軸 累計233 乖離12.2 量比0.71 大盤乖離6.2 名次3,7624,131.0,
2026-03-11,6669,緯穎,進場YoY103% 伺服器ODM/無 累計112 乖離7.8 量比1.07 大盤乖離10.2 名次20,239,4190.0,
2026-03-11,2382,廣達,進場YoY43% 伺服器ODM/無 累計52 乖離1.4 量比1.04 大盤乖離10.2 名次51,3477,289.0,
2026-03-12,8996,高力,進場YoY206% 散熱/無 累計260 乖離9.0 量比0.85 大盤乖離8.2 名次3,1098,917.0,
2026-03-12,4739,康普,進場YoY192% PCB_CCL/無 累計138 乖離7.0 量比1.07 大盤乖離8.2 名次5,13270,75.9,
2026-03-12,6531,愛普*,進場YoY147% IC設計_ASIC/無 累計118 乖離14.8 量比0.73 大盤乖離8.2 名次11,2074,485.5,
2026-03-16,2404,漢唐,出清,996,964.0,-35856
2026-03-16,6669,緯穎,出清,239,4005.0,-44215
2026-03-16,2465,麗臺,進場YoY127% 伺服器ODM/無 累計97 乖離8.5 量比0.90 大盤乖離6.8 名次15,17687,57.2,
2026-03-16,4540,全球傳動,進場YoY34% 機器人自動化/無 累計61 乖離2.4 量比0.94 大盤乖離6.8 名次60,20521,49.3,
2026-03-17,2376,技嘉,進場YoY47% 伺服器ODM/無 累計52 乖離8.6 量比1.25 大盤乖離8.0 名次45,4092,248.0,
2026-03-18,6139,亞翔,進場YoY81% 半導體設備材料/無 累計85 乖離8.4 量比0.63 大盤乖離9.3 名次29,1745,585.0,
2026-03-18,6215,和椿,進場YoY51% 機器人自動化/無 累計66 乖離2.0 量比0.65 大盤乖離9.3 名次42,9076,112.5,
2026-03-18,2059,川湖,進場YoY31% 機殼導軌/主軸 累計37 乖離5.9 量比0.88 大盤乖離9.3 名次64,299,3410.0,
2026-03-19,6215,和椿,出清,9076,108.0,-40842
2026-03-20,3443,創意,進場YoY60% IC設計_ASIC/無 累計84 乖離9.0 量比0.86 大盤乖離6.2 名次38,385,2645.0,
2026-03-23,2382,廣達,出清,3477,280.0,-31293
2026-03-23,2465,麗臺,出清,17687,56.6,-10612
2026-03-23,2376,技嘉,出清,4092,232.5,-63426
2026-03-23,2451,創見,進場YoY246% 記憶體/主軸 累計341 乖離13.7 量比0.73 大盤乖離3.3 名次1,3727,272.0,
2026-03-24,2449,京元電子,出清,3189,278.5,-111615
2026-03-24,2344,華邦電,出清,8696,99.5,-134788
2026-03-27,4540,全球傳動,出清,20521,43.55,-117996
2026-03-30,6139,亞翔,出清,1745,545.0,-69800
2026-03-30,3443,創意,出清,385,2310.0,-128975
2026-03-30,2451,創見,出清,3727,228.0,-163988
2026-03-31,3006,晶豪科,出清,6002,150.0,-102034
2026-03-31,6531,愛普*,出清,2074,442.0,-90219
2026-03-31,2059,川湖,出清,299,3175.0,-70265
2026-03-31,,,月權益,,201103183.41291636,
2026-04-01,,,月權益,,202178726.01291636,
2026-04-13,3231,緯創,進場YoY118% 伺服器ODM/無 累計144 乖離4.1 量比0.86 大盤乖離8.1 名次15,7632,134.5,
2026-04-13,6531,愛普*,進場YoY113% IC設計_ASIC/無 累計116 乖離11.1 量比1.25 大盤乖離8.1 名次17,1810,567.0,
2026-04-13,2382,廣達,進場YoY88% 伺服器ODM/無 累計67 乖離9.3 量比0.95 大盤乖離8.1 名次28,3218,319.0,
2026-04-13,2465,麗臺,進場YoY83% 伺服器ODM/無 累計91 乖離8.1 量比1.73 大盤乖離8.1 名次30,16638,61.7,
2026-04-13,2376,技嘉,進場YoY75% 伺服器ODM/無 累計60 乖離10.3 量比1.22 大盤乖離8.1 名次34,3888,264.0,
2026-04-13,6139,亞翔,進場YoY47% 半導體設備材料/無 累計67 乖離5.9 量比1.13 大盤乖離8.1 名次49,1682,610.0,
2026-04-13,3443,創意,進場YoY33% IC設計_ASIC/無 累計63 乖離12.6 量比0.84 大盤乖離8.1 名次59,369,2775.0,
2026-04-14,8210,勤誠,進場YoY45% 機殼導軌/主軸 累計71 乖離8.0 量比0.99 大盤乖離10.4 名次50,1072,961.0,
2026-04-14,2059,川湖,進場YoY39% 機殼導軌/主軸 累計38 乖離1.1 量比0.82 大盤乖離10.4 名次53,299,3445.0,
2026-04-20,2404,漢唐,進場YoY101% 半導體設備材料/無 累計76 乖離12.9 量比1.12 大盤乖離10.9 名次23,1016,1025.0,
2026-04-23,4540,全球傳動,進場YoY75% 機器人自動化/無 累計67 乖離13.6 量比1.07 大盤乖離12.0 名次32,19026,54.9,
2026-04-24,2485,兆赫,停利出清,24754,60.5,497555
2026-04-30,2404,漢唐,出清,1016,950.0,-76200
2026-04-30,3006,晶豪科,進場YoY188% 記憶體/主軸 累計150 乖離5.7 量比0.76 大盤乖離13.5 名次7,6245,169.5,
2026-04-30,6215,和椿,進場YoY49% 機器人自動化/無 累計59 乖離7.7 量比1.06 大盤乖離13.5 名次48,9536,111.0,
2026-04-30,2449,京元電子,進場YoY36% 封裝測試/無 累計39 乖離7.2 量比1.24 大盤乖離13.5 名次56,3499,302.5,
2026-04-30,,,月權益,,211710366.41466632,
2026-05-04,6239,力成,進場YoY35% 封裝測試/無 累計38 乖離5.7 量比1.20 大盤乖離18.1 名次57,4771,223.0,
2026-05-08,2344,華邦電,進場YoY91% 記憶體/主軸 累計91 乖離13.3 量比0.90 大盤乖離18.7 名次27,9910,107.0,
2026-05-11,2404,漢唐,進場YoY102% 半導體設備材料/無 累計83 乖離5.0 量比1.22 大盤乖離18.7 名次18,1044,1025.0,
2026-05-11,4967,十銓,進場YoY79% 記憶體/主軸 累計71 乖離9.0 量比1.39 大盤乖離18.7 名次35,3763,284.5,
2026-05-11,2356,英業達,進場YoY37% 伺服器ODM/候選 累計30 乖離7.0 量比1.36 大盤乖離18.7 名次80,21327,50.2,
2026-05-11,3706,神達,進場YoY32% 伺服器ODM/候選 累計34 乖離3.7 量比1.08 大盤乖離18.7 名次90,12334,86.8,
2026-05-12,5388,中磊,進場YoY66% 網通交換器/候選 累計52 乖離8.5 量比1.22 大盤乖離18.4 名次48,12150,88.2,
2026-05-13,5388,中磊,出清,12150,79.4,-106920
2026-05-15,3706,神達,出清,12334,79.9,-85105
2026-05-18,2382,廣達,出清,3218,300.0,-61142
2026-05-18,2449,京元電子,出清,3499,295.0,-26242
2026-05-19,3231,緯創,出清,7632,132.5,-15264
2026-05-20,1597,直得,進場YoY71% 機器人自動化/候選 累計42 乖離8.3 量比1.61 大盤乖離10.4 名次43,6156,171.0,
2026-05-22,2485,兆赫,進場YoY38% 網通交換器/候選 累計105 乖離8.8 量比0.72 大盤乖離15.7 名次78,14664,73.0,
2026-05-25,2449,京元電子,進場YoY35% 封裝測試/候選 累計38 乖離4.3 量比1.39 大盤乖離19.0 名次82,3406,317.0,
2026-05-27,3231,緯創,進場YoY112% 伺服器ODM/候選 累計135 乖離2.9 量比1.14 大盤乖離19.8 名次13,7460,145.0,
2026-05-29,,,月權益,,215988241.98816884,
2026-06-01,2382,廣達,進場YoY121% 伺服器ODM/候選 累計80 乖離14.9 量比1.50 大盤乖離21.0 名次9,2910,372.5,
2026-06-01,,,月權益,,216847159.82379383,
2026-06-02,6515,穎崴,停利出清,213,8080.0,721005
2026-06-02,2485,兆赫,出清,14664,69.9,-45458
2026-06-08,2337,旺宏,出清,9605,143.5,374595
2026-06-08,3443,創意,停利出清,369,4255.0,546120
2026-06-08,2449,京元電子,出清,3406,288.5,-97071
2026-06-10,3017,奇鋐,出清,623,2360.0,470365
2026-06-10,8271,宇瞻,出清,7624,202.0,541304
2026-06-10,6215,和椿,出清,9536,108.5,-23840
2026-06-11,6531,愛普*,停利出清,1810,890.0,584630
2026-06-11,5388,中磊,進場YoY70% 網通交換器/無 累計55 乖離1.1 量比0.99 大盤乖離10.7 名次56,12365,86.1,
2026-06-15,6770,力積電,進場YoY59% 晶圓代工/候選 累計31 乖離1.6 量比1.16 大盤乖離15.4 名次62,14645,73.3,
2026-06-16,4540,全球傳動,出清,19026,59.6,89422
2026-06-18,2337,旺宏,進場YoY176% 記憶體/主軸 累計111 乖離8.2 量比0.78 大盤乖離16.2 名次9,6377,169.0,
2026-06-18,3443,創意,進場YoY132% IC設計_ASIC/無 累計91 乖離4.0 量比1.10 大盤乖離16.2 名次19,221,4860.0,
2026-06-22,5388,中磊,出清,12365,82.4,-45750
2026-06-22,2449,京元電子,進場YoY37% 封裝測試/候選 累計38 乖離11.3 量比1.27 大盤乖離18.7 名次99,3191,339.0,
2026-06-23,2368,金像電,出清,1222,1265.0,546234
2026-06-23,6531,愛普*,進場YoY89% IC設計_ASIC/無 累計105 乖離3.1 量比0.95 大盤乖離16.4 名次34,1023,1050.0,
2026-06-24,2308,台達電,出清,793,2000.0,586820
2026-06-26,2467,志聖,出清,3663,560.0,1051281
2026-06-26,2465,麗臺,出清,16638,71.8,168044
2026-06-26,8210,勤誠,出清,1072,1230.0,288368
2026-06-26,1597,直得,出清,6156,139.5,-193914
2026-06-29,4967,十銓,出清,3763,264.0,-77142
2026-06-30,,,月權益,,215204646.50655133,
2026-07-01,2337,旺宏,出清,6377,143.5,-162614
2026-07-01,,,月權益,,214938254.79126382,
2026-07-03,6515,穎崴,進場YoY120% 封裝測試/候選 累計46 乖離9.7 量比1.00 大盤乖離10.9 名次23,108,9900.0,
