日期,代號,名稱,動作,股數,價格,實現損益
2025-09-01,,,月權益,,5000000,
2025-09-30,,,月權益,,5000000,
2025-10-01,,,月權益,,5000000,
2025-10-31,,,月權益,,5000000,
2025-11-28,,,月權益,,5000000,
2025-12-01,,,月權益,,5000000,
2025-12-31,,,月權益,,5000000,
2026-01-05,2408,南亞科,"報價位進場(記憶體,第1次)",4014,208.0,
2026-01-30,,,月權益,,5474469.2504,
2026-02-11,3017,奇鋐,進場YoY150% 散熱/無,433,1605.0,
2026-02-11,8210,勤誠,進場YoY137% 機殼導軌/主軸,713,975.0,
2026-02-11,2467,志聖,進場YoY124% PCB設備/無,2547,273.0,
2026-02-11,2382,廣達,進場YoY62% 伺服器ODM/無,2431,286.0,
2026-02-11,8046,南電,進場YoY45% PCB_CCL/無,1671,416.0,
2026-02-23,8210,勤誠,出清,713,890.0,-60605
2026-02-23,2485,兆赫,進場YoY163% 網通交換器/無,17117,40.4,
2026-02-26,,,月權益,,5756457.433435,
2026-03-04,2382,廣達,出清,2431,281.0,-12155
2026-03-05,6669,緯穎,進場YoY122% 伺服器ODM/無,188,4220.0,
2026-03-09,2408,南亞科,報價位出清(獲利後破60MA),4014,210.0,8028
2026-03-09,6669,緯穎,出清,188,3930.0,-54520
2026-03-11,6669,緯穎,進場YoY103% 伺服器ODM/無,221,4190.0,
2026-03-16,6669,緯穎,出清,221,4005.0,-40885
2026-03-17,8996,高力,進場YoY206% 散熱/無,1093,918.0,
2026-03-18,2327,國巨,"報價位進場(被動元件,第1次)",3604,280.5,
2026-03-31,,,月權益,,5949644.955584999,
2026-04-01,,,月權益,,6201061.755585,
2026-04-24,2485,兆赫,停利出清,17117,60.5,344052
2026-04-24,3231,緯創,進場YoY118% 伺服器ODM/無,7274,141.5,
2026-04-30,,,月權益,,7982960.1095475,
2026-05-19,3231,緯創,出清,7274,132.5,-65466
2026-05-21,2465,麗臺,進場YoY176% 伺服器ODM/候選,11547,83.1,
2026-05-29,,,月權益,,8973047.805549998,
2026-06-01,,,月權益,,9370141.70555,
2026-06-10,3017,奇鋐,出清,433,2360.0,326915
2026-06-12,4739,康普,進場YoY141% PCB_CCL/無,8171,121.5,
2026-06-26,2467,志聖,出清,2547,560.0,730989
2026-06-26,2465,麗臺,出清,11547,71.8,-130481
2026-06-30,2383,台光電,進場YoY115% PCB_CCL/無,213,5390.0,
2026-06-30,6139,亞翔,進場YoY103% 半導體設備材料/無,1207,923.0,
2026-06-30,,,月權益,,11002070.6222575,
2026-07-01,,,月權益,,10983920.6222575,
2026-07-09,4739,康普,出清,8171,99.0,-183848
2026-07-13,2327,國巨,報價位出清(T4),3604,816.0,1929942
2026-07-14,2408,南亞科,"報價位進場(記憶體,第2次)",3451,448.0,
2026-07-14,8996,高力,出清,1093,1175.0,280901
2026-07-16,2383,台光電,出清,213,4990.0,-85200
2026-07-20,6139,亞翔,出清,1207,775.0,-178636
2026-07-28,8046,南電,停利出清,1671,976.0,935760
2026-07-29,2408,南亞科,報價位出清(硬停損-15%),3451,353.5,-326120
2026-07-31,,,月權益,,8312718.399169999,
2026-08-05,2606,裕民,"報價位進場(航運,第1次)",21522,64.5,
2026-08-14,6531,愛普*,進場YoY145% IC設計_ASIC/無,1240,932.0,
2026-08-14,3003,健和興,進場YoY93% 連接器線材/無,17306,66.8,
2026-08-14,2356,英業達,進場YoY66% 伺服器ODM/候選,16538,69.9,
2026-08-14,3231,緯創,進場YoY61% 伺服器ODM/候選,5974,193.5,
2026-08-14,2376,技嘉,進場YoY60% 伺服器ODM/候選,2908,397.5,
2026-08-17,6531,愛普*,出清,1240,873.0,-73160
2026-08-17,2465,麗臺,進場YoY281% 伺服器ODM/候選,12201,90.6,
2026-08-18,2356,英業達,出清,16538,64.9,-82690
2026-08-18,3017,奇鋐,進場YoY57% 散熱/無,357,3035.0,
2026-08-20,2376,技嘉,出清,2908,344.0,-155578
2026-08-20,2383,台光電,進場YoY129% PCB_CCL/主軸,178,5985.0,
2026-08-31,,,月權益,,8259317.672779998,
2026-09-01,,,月權益,,8286430.272779997,
2026-09-03,2383,台光電,出清,178,5290.0,-123710
2026-09-03,3443,創意,進場YoY158% IC設計_ASIC/無,189,5800.0,
2026-09-04,,,月權益,,8440084.319279999,
