日期,代號,名稱,動作,股數,價格,實現損益
2025-09-01,,,月權益,,5000000,
2025-09-30,,,月權益,,5000000,
2025-10-01,,,月權益,,5000000,
2025-10-31,,,月權益,,5000000,
2025-11-28,,,月權益,,5000000,
2025-12-01,,,月權益,,5000000,
2025-12-31,,,月權益,,5000000,
2026-01-30,,,月權益,,5000000,
2026-02-11,3017,奇鋐,進場YoY150% 散熱/無,623,1605.0,
2026-02-11,8210,勤誠,進場YoY137% 機殼導軌/主軸,1025,975.0,
2026-02-11,2467,志聖,進場YoY124% PCB設備/無,3663,273.0,
2026-02-11,2382,廣達,進場YoY62% 伺服器ODM/無,3496,286.0,
2026-02-11,8046,南電,進場YoY45% PCB_CCL/無,2344,416.0,
2026-02-23,8210,勤誠,出清,1025,890.0,-87125
2026-02-26,,,月權益,,5522297.988925,
2026-03-04,2382,廣達,出清,3496,281.0,-17480
2026-03-11,6669,緯穎,進場YoY103% 伺服器ODM/無,263,4190.0,
2026-03-11,2345,智邦,進場YoY83% 網通交換器/無,528,1485.0,
2026-03-16,6669,緯穎,出清,263,4005.0,-48655
2026-03-31,,,月權益,,5808954.435,
2026-04-01,,,月權益,,6060992.935,
2026-04-13,2485,兆赫,進場YoY200% 網通交換器/無,12914,80.8,
2026-04-30,2485,兆赫,出清,12914,58.7,-285399
2026-04-30,,,月權益,,8331112.737825,
2026-05-11,2337,旺宏,進場YoY154% 記憶體/主軸,4759,159.5,
2026-05-29,,,月權益,,8005256.0766125005,
2026-06-01,,,月權益,,8326557.0766125005,
2026-06-08,2337,旺宏,出清,4759,143.5,-76144
2026-06-10,3017,奇鋐,出清,623,2360.0,470365
2026-06-11,2344,華邦電,進場YoY182% 記憶體/主軸,9247,156.5,
2026-06-11,4739,康普,進場YoY141% PCB_CCL/無,5625,123.5,
2026-06-26,2467,志聖,出清,3663,560.0,1051281
2026-06-30,,,月權益,,8713230.141825,
2026-07-01,,,月權益,,8598212.641825,
2026-07-09,4739,康普,出清,5625,99.0,-137812
2026-07-13,2345,智邦,出清,528,2405.0,485760
2026-07-13,2059,川湖,進場YoY221% 機殼導軌/候選,207,8080.0,
2026-07-13,2467,志聖,進場YoY94% PCB設備/無,2821,595.0,
2026-07-13,3706,神達,進場YoY81% 伺服器ODM/候選,5593,90.8,
2026-07-14,2467,志聖,出清,2821,536.0,-166439
2026-07-14,2382,廣達,進場YoY103% 伺服器ODM/候選,3907,380.0,
2026-07-17,2382,廣達,出清,3907,325.5,-212932
2026-07-20,2344,華邦電,出清,9247,151.0,-50858
2026-07-28,8046,南電,停利出清,2344,976.0,1312640
2026-07-29,3706,神達,出清,5593,85.3,-30762
2026-07-31,,,月權益,,7062000.136135001,
2026-08-11,2344,華邦電,進場YoY292% 記憶體/主軸,8973,178.0,
2026-08-11,2465,麗臺,進場YoY281% 伺服器ODM/候選,18380,86.9,
2026-08-11,8271,宇瞻,進場YoY165% 記憶體/主軸,6811,234.5,
2026-08-11,2383,台光電,進場YoY129% PCB_CCL/主軸,113,5535.0,
2026-08-19,2344,華邦電,出清,8973,168.0,-89730
2026-08-31,,,月權益,,8345361.310972501,
2026-09-01,,,月權益,,8379533.810972501,
2026-09-03,2383,台光電,出清,113,5290.0,-27685
2026-09-04,,,月權益,,8278501.6787225,
