版本,說明,2026報酬%,最大回撤%,交易數,進場數,出清勝率%,期末持股,期末
T4,基準 U1+T4,+104.16,-25.13,59,22,33,5,"10,208,162"
C1,虧損出清後10日不進場,+66.70,-24.43,52,18,38,4,"8,335,010"
C2,虧損出清後20日不進場,+57.31,-21.70,45,14,50,3,"7,865,546"
C3,15日內2次虧損出清→暫停進場20日,+84.60,-20.14,53,19,33,5,"9,229,757"
C4,大盤60MA乖離>8%不進場,+74.75,-27.87,57,21,31,5,"8,737,723"
C5,每次進場間隔≥10日,+104.16,-25.13,59,22,33,5,"10,208,162"
C6,只在每月11–15日進場,+65.57,-21.16,55,19,20,3,"8,278,502"
C7,C1＋C4,+84.54,-21.00,48,16,42,4,"9,227,249"
C8,C3＋C4,+79.67,-24.30,51,18,38,5,"8,983,411"
0050,買進持有,+61.17,-15.88,,,,,
