日期,代號,名稱,動作,股數,價格,實現損益
2025-09-01,,,月權益,,5000000,
2025-09-30,,,月權益,,5000000,
2025-10-01,,,月權益,,5000000,
2025-10-31,,,月權益,,5000000,
2025-11-28,,,月權益,,5000000,
2025-12-01,,,月權益,,5000000,
2025-12-31,,,月權益,,5000000,
2026-01-30,,,月權益,,5000000,
2026-02-11,3535,晶彩科,進場YoY10477% 半導體設備材料/循環,9661,103.5,
2026-02-11,2408,南亞科,進場YoY1608% 記憶體/循環,3597,278.0,
2026-02-11,4540,全球傳動,進場YoY1085% 機器人自動化/循環,20898,47.85,
2026-02-11,2313,華通,進場YoY1040% PCB_CCL/循環,5361,186.5,
2026-02-11,3037,欣興,進場YoY1034% PCB_CCL/循環,2641,369.0,
2026-02-26,,,月權益,,5725821.0588724995,
2026-03-09,2408,南亞科,出清,3597,210.0,-244596
2026-03-09,1560,中砂,進場YoY1033% 半導體設備材料/循環,1674,451.0,
2026-03-27,4540,全球傳動,出清,20898,43.55,-89861
2026-03-27,8028,昇陽半導體,進場YoY1019% 半導體設備材料/循環,4724,191.0,
2026-03-31,3535,晶彩科,出清,9661,103.5,0
2026-03-31,1560,中砂,出清,1674,425.5,-42687
2026-03-31,,,月權益,,5080316.5393025,
2026-04-01,8028,昇陽半導體,出清,4724,177.5,-63774
2026-04-01,8996,高力,進場YoY206% 散熱/無,1161,908.0,
2026-04-01,2345,智邦,進場YoY83% 網通交換器/無,635,1660.0,
2026-04-01,3017,奇鋐,進場YoY75% 散熱/無,206,2110.0,
2026-04-01,,,月權益,,5269150.431652499,
2026-04-24,2313,華通,出清,5361,214.5,150108
2026-04-24,2467,志聖,進場YoY1078% PCB設備/循環,2103,538.0,
2026-04-30,,,月權益,,7117657.70654,
2026-05-29,,,月權益,,7467409.70654,
2026-06-01,,,月權益,,7515333.70654,
2026-06-10,3017,奇鋐,出清,206,2360.0,51500
2026-06-10,3704,合勤控,進場YoY1043% 網通交換器/循環,11004,45.05,
2026-06-26,2467,志聖,出清,2103,560.0,46266
2026-06-26,2408,南亞科,進場YoY1730% 記憶體/循環,2579,449.0,
2026-06-30,,,月權益,,7911266.19033,
2026-07-01,,,月權益,,7836068.4903299995,
2026-07-07,3037,欣興,出清,2641,840.0,1243911
2026-07-07,6197,佳必琪,進場YoY1042% 連接器線材/循環,3818,360.0,
2026-07-13,2345,智邦,出清,635,2405.0,473075
2026-07-13,2465,麗臺,進場YoY1544% 伺服器ODM/循環,15618,85.9,
2026-07-14,8996,高力,出清,1161,1175.0,309987
2026-07-14,6416,瑞祺電通,進場YoY1059% 網通交換器/循環,13555,97.9,
2026-07-17,2465,麗臺,出清,15618,76.4,-148371
2026-07-21,6213,聯茂,進場YoY1048% PCB_CCL/循環,3574,354.5,
2026-07-28,3704,合勤控,出清,11004,43.6,-15956
2026-07-28,6197,佳必琪,出清,3818,290.0,-267260
2026-07-28,6213,聯茂,出清,3574,276.5,-278772
2026-07-29,2408,南亞科,出清,2579,353.5,-246294
2026-07-30,6416,瑞祺電通,出清,13555,86.5,-154527
2026-07-31,,,月權益,,5618522.9249525,
2026-08-05,2324,仁寶,進場YoY1058% 伺服器ODM/循環,30411,36.95,
2026-08-05,4938,和碩,進場YoY1016% 伺服器ODM/循環,12555,89.5,
2026-08-05,8271,宇瞻,進場YoY201% 記憶體/主軸,4950,227.0,
2026-08-05,5388,中磊,進場YoY71% 網通交換器/候選,12267,91.6,
2026-08-05,2317,鴻海,進場YoY52% 伺服器ODM/候選,4236,258.5,
2026-08-12,5388,中磊,出清,12267,82.4,-112856
2026-08-12,2408,南亞科,進場YoY1720% 記憶體/循環,2086,482.5,
2026-08-17,2317,鴻海,出清,4236,255.0,-14826
2026-08-17,2451,創見,進場YoY1308% 記憶體/循環,3699,290.0,
2026-08-18,2451,創見,出清,3699,280.0,-36990
2026-08-18,3006,晶豪科,進場YoY1491% 記憶體/循環,4155,248.0,
2026-08-31,,,月權益,,5864679.246973749,
2026-09-01,,,月權益,,5731993.79697375,
2026-09-04,,,月權益,,5748492.496973749,
