日期,代號,名稱,動作,股數,價格,實現損益
2025-09-01,,,月權益,,5000000,
2025-09-30,,,月權益,,5000000,
2025-10-01,,,月權益,,5000000,
2025-10-31,,,月權益,,5000000,
2025-11-28,,,月權益,,5000000,
2025-12-01,,,月權益,,5000000,
2025-12-31,,,月權益,,5000000,
2026-01-30,,,月權益,,5000000,
2026-02-11,3535,晶彩科,進場YoY10477% 半導體設備材料/循環,241,103.5,
2026-02-11,4540,全球傳動,進場YoY1085% 機器人自動化/循環,522,47.85,
2026-02-11,2313,華通,進場YoY1040% PCB_CCL/循環,134,186.5,
2026-02-11,3532,台勝科,進場YoY1022% 記憶體/循環,168,148.0,
2026-02-11,6213,聯茂,進場YoY42% PCB_CCL/無,206,121.0,
2026-02-23,5388,中磊,進場YoY1033% 網通交換器/循環,298,83.8,
2026-02-23,3026,禾伸堂,進場YoY1022% 被動元件/循環,218,114.5,
2026-02-23,1802,台玻,進場YoY1018% PCB_CCL/循環,483,51.7,
2026-02-23,2485,兆赫,進場YoY163% 網通交換器/無,619,40.4,
2026-02-23,2344,華邦電,進場YoY94% 記憶體/主軸,217,115.0,
2026-02-23,1597,直得,進場YoY40% 機器人自動化/無,307,81.4,
2026-02-24,3003,健和興,進場YoY1059% 連接器線材/循環,496,50.5,
2026-02-24,3006,晶豪科,進場YoY129% 記憶體/主軸,150,167.0,
2026-02-25,1514,亞力,進場YoY1069% 重電電網/循環,192,130.5,
2026-02-25,2356,英業達,進場YoY1035% 伺服器ODM/循環,540,46.4,
2026-02-25,2492,華新科,進場YoY1020% 被動元件/循環,160,156.0,
2026-02-26,6197,佳必琪,進場YoY1031% 連接器線材/循環,162,154.5,
2026-02-26,2317,鴻海,進場YoY36% 伺服器ODM/無,103,243.0,
2026-02-26,,,月權益,,5018857.153382498,
2026-03-02,4739,康普,進場YoY109% PCB_CCL/無,317,79.1,
2026-03-03,5388,中磊,出清,298,81.8,-596
2026-03-03,2356,英業達,出清,540,42.85,-1917
2026-03-03,2440,太空梭,進場YoY1070% 連接器線材/循環,1565,16.0,
2026-03-03,2478,大毅,進場YoY1038% 被動元件/循環,347,72.0,
2026-03-03,8028,昇陽半導體,進場YoY1017% 半導體設備材料/循環,137,182.0,
2026-03-03,2337,旺宏,進場YoY51% 記憶體/主軸,239,104.5,
2026-03-04,1597,直得,出清,307,72.3,-2794
2026-03-04,3003,健和興,出清,496,48.1,-1190
2026-03-04,2492,華新科,出清,160,128.0,-4480
2026-03-04,6197,佳必琪,出清,162,142.5,-1944
2026-03-04,2317,鴻海,出清,103,217.0,-2678
2026-03-04,4739,康普,出清,317,67.7,-3614
2026-03-04,8028,昇陽半導體,出清,137,169.0,-1781
2026-03-09,3532,台勝科,出清,168,110.5,-6300
2026-03-09,6213,聯茂,出清,206,115.0,-1236
2026-03-09,3026,禾伸堂,出清,218,103.0,-2507
2026-03-09,1514,亞力,出清,192,111.0,-3744
2026-03-10,2440,太空梭,出清,1565,14.55,-2269
2026-03-10,8271,宇瞻,進場YoY233% 記憶體/主軸,189,131.0,
2026-03-12,4739,康普,進場YoY192% PCB_CCL/無,328,75.9,
2026-03-13,8028,昇陽半導體,進場YoY1019% 半導體設備材料/循環,132,189.0,
2026-03-16,2465,麗臺,進場YoY127% 伺服器ODM/無,437,57.2,
2026-03-17,2376,技嘉,進場YoY47% 伺服器ODM/無,101,248.0,
2026-03-18,6215,和椿,進場YoY51% 機器人自動化/無,224,112.5,
2026-03-19,6215,和椿,出清,224,108.0,-1008
2026-03-23,2478,大毅,出清,347,64.0,-2776
2026-03-23,2465,麗臺,出清,437,56.6,-262
2026-03-23,2376,技嘉,出清,101,232.5,-1566
2026-03-24,2344,華邦電,出清,217,99.5,-3364
2026-03-27,4540,全球傳動,出清,522,43.55,-2245
2026-03-31,3535,晶彩科,出清,241,103.5,0
2026-03-31,3006,晶豪科,出清,150,150.0,-2550
2026-03-31,,,月權益,,4980449.345408747,
2026-04-01,8028,昇陽半導體,出清,132,177.5,-1518
2026-04-01,,,月權益,,4989840.067658748,
2026-04-13,5388,中磊,進場YoY1087% 網通交換器/循環,296,84.3,
2026-04-13,3515,華擎,進場YoY1055% 伺服器ODM/循環,113,221.5,
2026-04-13,2419,仲琦,進場YoY1055% 網通交換器/循環,708,35.35,
2026-04-13,3380,明泰,進場YoY1050% 網通交換器/循環,640,39.1,
2026-04-13,2356,英業達,進場YoY1047% 伺服器ODM/循環,561,44.55,
2026-04-13,3003,健和興,進場YoY1026% 連接器線材/循環,465,53.8,
2026-04-13,8028,昇陽半導體,進場YoY1026% 半導體設備材料/循環,127,196.5,
2026-04-13,3704,合勤控,進場YoY1025% 網通交換器/循環,683,36.65,
2026-04-13,2049,上銀,進場YoY1017% 機器人自動化/循環,100,250.0,
2026-04-13,3231,緯創,進場YoY118% 伺服器ODM/無,186,134.5,
2026-04-13,2465,麗臺,進場YoY83% 伺服器ODM/無,405,61.7,
2026-04-14,8150,南茂,進場YoY1023% 封裝測試/循環,397,63.0,
2026-04-21,3706,神達,進場YoY1043% 伺服器ODM/循環,295,85.0,
2026-04-22,2317,鴻海,進場YoY1046% 伺服器ODM/循環,114,221.0,
2026-04-22,2301,光寶科,進場YoY1023% 電源/循環,143,176.0,
2026-04-22,2421,建準,進場YoY1022% 散熱/循環,171,147.0,
2026-04-23,2421,建準,出清,171,141.5,-940
2026-04-23,1597,直得,進場YoY1039% 機器人自動化/循環,232,107.5,
