日期,代號,名稱,動作,股數,價格,實現損益
2025-09-01,,,月權益,,5000000,
2025-09-30,,,月權益,,5000000,
2025-10-01,,,月權益,,5000000,
2025-10-31,,,月權益,,5000000,
2025-11-28,,,月權益,,5000000,
2025-12-01,,,月權益,,5000000,
2025-12-31,,,月權益,,5000000,
2026-01-30,,,月權益,,5000000,
2026-02-11,8210,勤誠,進場YoY137% 機殼導軌/主軸,1025,975.0,
2026-02-11,1529,樂事綠能,進場YoY277% —/無,40080,24.95,
2026-02-11,2363,矽統,進場YoY172% —/無,18181,55.0,
2026-02-11,3528,安馳,進場YoY152% —/無,13869,72.1,
2026-02-11,3017,奇鋐,進場YoY150% 散熱/無,607,1605.0,
2026-02-23,8210,勤誠,出清,1025,890.0,-87125
2026-02-23,2344,華邦電,進場YoY94% 記憶體/主軸,7904,115.0,
2026-02-26,,,月權益,,5068023.6655925,
2026-03-04,2363,矽統,出清,18181,48.4,-119995
2026-03-04,3528,安馳,出清,13869,66.3,-80440
2026-03-04,2337,旺宏,進場YoY51% 記憶體/主軸,9491,98.0,
2026-03-04,2406,國碩,進場YoY189% —/無,27168,31.65,
2026-03-24,2344,華邦電,出清,7904,99.5,-122512
2026-03-24,2451,創見,進場YoY246% 記憶體/主軸,3096,253.0,
2026-03-30,1529,樂事綠能,出清,40080,23.55,-56112
2026-03-30,2451,創見,出清,3096,228.0,-77400
2026-03-30,4739,康普,進場YoY192% —/無,12459,81.8,
2026-03-30,5484,慧友,進場YoY184% —/無,14428,43.25,
2026-03-31,,,月權益,,4756473.001455,
2026-04-01,,,月權益,,4998934.701455,
2026-04-02,2406,國碩,出清,27168,30.8,-23093
2026-04-02,8996,高力,進場YoY206% 散熱/無,956,866.0,
2026-04-13,5484,慧友,出清,14428,38.9,-62762
2026-04-13,6442,光聖,進場YoY76% 光通訊_CPO/候選,252,2230.0,
2026-04-24,6442,光聖,出清,252,1880.0,-88200
2026-04-24,2059,川湖,進場YoY39% 機殼導軌/主軸,124,3795.0,
2026-04-30,,,月權益,,5931104.237725,
2026-05-29,,,月權益,,6225860.537725,
2026-06-01,,,月權益,,6296230.537725,
2026-06-08,2337,旺宏,出清,9491,143.5,431840
2026-06-08,2344,華邦電,進場YoY182% 記憶體/主軸,8217,154.0,
2026-06-10,3017,奇鋐,出清,607,2360.0,458285
2026-06-10,2382,廣達,進場YoY121% 伺服器ODM/候選,3293,380.5,
2026-06-30,,,月權益,,7010248.74395,
2026-07-01,,,月權益,,6883606.24395,
2026-07-09,4739,康普,出清,12459,99.0,214295
2026-07-09,3006,晶豪科,進場YoY297% 記憶體/主軸,5383,237.0,
2026-07-14,8996,高力,出清,956,1175.0,295404
2026-07-14,3706,神達,進場YoY81% 伺服器ODM/候選,13615,89.7,
2026-07-17,2382,廣達,出清,3293,325.5,-181115
2026-07-17,3006,晶豪科,出清,5383,198.0,-209937
2026-07-20,2344,華邦電,出清,8217,151.0,-24651
2026-07-21,5388,中磊,進場YoY71% 網通交換器/候選,13427,85.1,
2026-07-21,8046,南電,進場YoY50% PCB_CCL/候選,960,1190.0,
2026-07-21,3702,大聯大,進場YoY132% —/無,10248,111.5,
2026-07-28,8046,南電,出清,960,976.0,-205440
2026-07-28,3702,大聯大,出清,10248,110.0,-15372
2026-07-29,3706,神達,出清,13615,85.3,-59906
2026-07-29,5388,中磊,出清,13427,81.9,-42966
2026-07-31,,,月權益,,5328599.4660875,
2026-08-05,8271,宇瞻,進場YoY201% 記憶體/主軸,4871,227.0,
2026-08-05,2317,鴻海,進場YoY52% 伺服器ODM/候選,4278,258.5,
2026-08-05,2606,裕民,進場YoY36% 航運/候選,17145,64.5,
2026-08-05,3229,晟鈦,進場YoY99% —/無,22878,44.25,
2026-08-06,2606,裕民,出清,17145,64.4,-1714
2026-08-06,3704,合勤控,進場YoY48% 網通交換器/候選,23198,47.25,
2026-08-11,3704,合勤控,出清,23198,45.4,-42916
2026-08-11,2344,華邦電,進場YoY292% 記憶體/主軸,5887,178.0,
2026-08-17,2317,鴻海,出清,4278,255.0,-14973
2026-08-17,4967,十銓,進場YoY99% 記憶體/主軸,4113,263.5,
2026-08-18,4967,十銓,出清,4113,252.0,-47300
2026-08-18,8046,南電,進場YoY50% PCB_CCL/主軸,828,1245.0,
2026-08-19,2344,華邦電,出清,5887,168.0,-58870
2026-08-20,2383,台光電,進場YoY129% PCB_CCL/主軸,164,5985.0,
2026-08-31,,,月權益,,6028122.022702499,
2026-09-01,,,月權益,,5981180.522702499,
2026-09-03,8046,南電,出清,828,1080.0,-136620
2026-09-03,2383,台光電,出清,164,5290.0,-113980
2026-09-03,6213,聯茂,進場YoY97% PCB_CCL/主軸,2192,512.0,
2026-09-03,2368,金像電,進場YoY77% PCB_CCL/主軸,580,1100.0,
2026-09-04,2368,金像電,出清,580,1045.0,-31900
2026-09-04,3044,健鼎,進場YoY57% PCB_CCL/主軸,1236,488.5,
2026-09-04,,,月權益,,5663968.9369525,
