日期,代號,名稱,動作,股數,價格,實現損益
2025-09-01,,,月權益,,5000000,
2025-09-30,,,月權益,,5000000,
2025-10-01,,,月權益,,5000000,
2025-10-31,,,月權益,,5000000,
2025-11-28,,,月權益,,5000000,
2025-12-01,,,月權益,,5000000,
2025-12-31,,,月權益,,5000000,
2026-01-30,,,月權益,,5000000,
2026-02-11,8210,勤誠,進場YoY137% 機殼導軌/主軸,1025,975.0,
2026-02-11,2467,志聖,進場YoY124% —/無,3663,273.0,
2026-02-11,6805,富世達,進場YoY116% —/無,647,1545.0,
2026-02-11,2360,致茂,進場YoY72% —/無,952,1050.0,
2026-02-11,2382,廣達,進場YoY62% 伺服器ODM/無,3411,286.0,
2026-02-23,8210,勤誠,出清,1025,890.0,-87125
2026-02-23,2344,華邦電,進場YoY94% 記憶體/主軸,7899,115.0,
2026-02-26,,,月權益,,5575197.702749999,
2026-03-04,2382,廣達,出清,3411,281.0,-17055
2026-03-04,3167,大量,進場YoY120% —/無,3579,266.0,
2026-03-24,2344,華邦電,出清,7899,99.5,-122434
2026-03-24,6531,愛普*,進場YoY147% IC設計_ASIC/無,1566,501.0,
2026-03-31,6531,愛普*,出清,1566,442.0,-92394
2026-03-31,,,月權益,,6033394.0615125,
2026-04-01,6944,兆聯實業,進場YoY101% —/無,851,810.0,
2026-04-01,,,月權益,,6390500.7947625,
2026-04-30,,,月權益,,9452064.2947625,
2026-05-14,6805,富世達,出清,647,1780.0,152045
2026-05-14,2382,廣達,進場YoY121% 伺服器ODM/候選,3399,334.5,
2026-05-18,2382,廣達,出清,3399,300.0,-117266
2026-05-18,3028,增你強,進場YoY106% —/無,12515,81.2,
2026-05-29,,,月權益,,9356055.740275,
2026-06-01,,,月權益,,9429978.740275,
2026-06-24,2360,致茂,出清,952,2160.0,1056720
2026-06-24,4739,康普,進場YoY141% —/無,14714,121.0,
2026-06-26,2467,志聖,出清,3663,560.0,1051281
2026-06-26,2347,聯強,進場YoY129% —/無,18246,92.8,
2026-06-30,,,月權益,,8862051.497784998,
2026-07-01,,,月權益,,8825378.997784998,
2026-07-08,6944,兆聯實業,出清,851,941.0,111481
2026-07-08,3028,增你強,出清,12515,74.1,-88857
2026-07-08,2406,國碩,進場YoY121% —/無,43502,39.05,
2026-07-08,6139,亞翔,進場YoY103% 半導體設備材料/無,734,866.0,
2026-07-09,3167,大量,出清,3579,775.0,1821711
2026-07-09,4739,康普,出清,14714,99.0,-323708
2026-07-09,2495,普安,進場YoY87% —/無,31072,52.5,
2026-07-09,8131,福懋科,進場YoY50% —/無,21464,76.0,
2026-07-13,2347,聯強,出清,18246,82.5,-187934
2026-07-13,2467,志聖,進場YoY94% —/無,2638,595.0,
2026-07-14,2495,普安,出清,31072,44.75,-240808
2026-07-14,2467,志聖,出清,2638,536.0,-155642
2026-07-14,3702,大聯大,進場YoY132% —/無,12405,119.5,
2026-07-14,2382,廣達,進場YoY103% 伺服器ODM/候選,3901,380.0,
2026-07-16,2406,國碩,出清,43502,33.95,-221860
2026-07-16,3167,大量,進場YoY140% —/無,1701,851.0,
2026-07-17,8131,福懋科,出清,21464,69.0,-150248
2026-07-17,3702,大聯大,出清,12405,109.5,-124050
2026-07-17,2382,廣達,出清,3901,325.5,-212604
2026-07-17,3167,大量,出清,1701,766.0,-144585
2026-07-20,6139,亞翔,出清,734,775.0,-66794
2026-07-21,3706,神達,進場YoY81% 伺服器ODM/候選,14638,91.3,
2026-07-21,4916,事欣科,進場YoY81% —/無,12490,107.0,
2026-07-21,2395,研華,進場YoY73% —/無,2357,567.0,
2026-07-21,8046,南電,進場YoY50% PCB_CCL/候選,1123,1190.0,
2026-07-21,2359,所羅門,進場YoY36% —/無,9405,138.5,
2026-07-28,4916,事欣科,出清,12490,97.1,-123651
2026-07-28,8046,南電,出清,1123,976.0,-240322
2026-07-28,2359,所羅門,出清,9405,134.0,-42322
2026-07-29,3706,神達,出清,14638,85.3,-87828
2026-07-31,,,月權益,,6148131.420832499,
2026-08-05,6414,樺漢,進場YoY57% —/無,2692,469.0,
2026-08-05,2317,鴻海,進場YoY52% 伺服器ODM/候選,4884,258.5,
2026-08-05,2027,大成鋼,進場YoY44% —/無,28469,44.35,
2026-08-05,2388,威盛,進場YoY34% —/無,12138,83.0,
2026-08-17,2317,鴻海,出清,4884,255.0,-17094
2026-08-17,4967,十銓,進場YoY99% 記憶體/主軸,4682,263.5,
2026-08-18,6414,樺漢,出清,2692,389.5,-214014
2026-08-18,2388,威盛,出清,12138,72.4,-128663
2026-08-18,4967,十銓,出清,4682,252.0,-53843
2026-08-18,2464,盟立,進場YoY62% 半導體設備材料/候選,6890,178.0,
2026-08-18,3017,奇鋐,進場YoY57% 散熱/無,404,3035.0,
2026-08-18,2357,華碩,進場YoY53% —/無,711,910.0,
2026-08-31,,,月權益,,6332253.414883749,
2026-09-01,,,月權益,,6473626.414883749,
2026-09-04,,,月權益,,6742904.014883748,
