版本,說明,2026報酬%,最大回撤%,交易數,進場數,出清勝率%,期末持股,期末
J5,基準 5檔x20%,+69.25,-28.96,59,22,41,5,"8,462,281"
M1,主流＝20日均成交額≥5億,+45.80,-33.10,71,28,30,5,"7,289,889"
M2,主流＝20日均成交額≥10億,+36.02,-34.33,71,28,30,5,"6,800,966"
M3,主流＝累計YoY≥30（排低基期）,+76.19,-28.96,57,21,44,5,"8,809,599"
M4,主流＝在子產業對照表內,+59.59,-22.30,69,27,23,5,"7,979,474"
M5,M1＋M3,+49.94,-33.10,69,27,32,5,"7,496,957"
M6,M1＋YoY上限150%,+34.86,-39.03,83,34,17,5,"6,742,904"
M7,M5＋3檔x33%,+61.65,-34.82,45,14,45,3,"8,082,397"
M8,M1＋M4,+65.66,-24.30,63,24,26,5,"8,283,178"
0050,買進持有,+61.17,-15.88,,,,,
