日期,代號,名稱,動作,股數,價格,實現損益
2026-02-11,1529,樂事綠能,進場YoY277%,33466,24.95,
2026-02-11,2363,矽統,進場YoY172%,15181,55.0,
2026-02-11,3528,安馳,進場YoY152%,11581,72.1,
2026-02-11,3017,奇鋐,進場YoY150%,520,1605.0,
2026-02-11,8210,勤誠,進場YoY137%,856,975.0,
2026-02-11,2467,志聖,進場YoY124%,2943,273.0,
2026-02-23,8210,勤誠,出清,856,890.0,-72760
2026-02-23,2485,兆赫,進場YoY163%,18770,40.4,
2026-03-04,2363,矽統,出清,15181,48.4,-100195
2026-03-04,3528,安馳,出清,11581,66.3,-67170
2026-03-04,2406,國碩,進場YoY189%,27591,31.65,
2026-03-04,3167,大量,進場YoY120%,2342,266.0,
2026-03-30,1529,樂事綠能,出清,33466,23.55,-46852
2026-03-30,4739,康普,進場YoY192%,9544,81.8,
2026-04-02,2406,國碩,出清,27591,30.8,-23452
2026-04-02,8996,高力,進場YoY206%,974,866.0,
2026-04-30,2485,兆赫,出清,18770,58.7,343491
2026-04-30,3006,晶豪科,進場YoY188%,6435,169.5,
2026-06-10,3017,奇鋐,出清,520,2360.0,392600
2026-06-10,2344,華邦電,進場YoY182%,8172,149.0,
2026-06-26,2467,志聖,出清,2943,560.0,844641
2026-06-26,2337,旺宏,進場YoY176%,9197,162.5,
2026-07-01,2337,旺宏,出清,9197,143.5,-174743
2026-07-01,4934,太極,進場YoY281%,82015,17.7,
2026-07-07,4934,太極,出清,82015,16.85,-69713
2026-07-07,2059,川湖,進場YoY172%,166,8260.0,
2026-07-09,3167,大量,出清,2342,775.0,1192078
2026-07-09,4739,康普,出清,9544,99.0,164157
2026-07-09,2101,南港,進場YoY159%,40831,34.0,
2026-07-09,2406,國碩,進場YoY121%,35324,38.5,
2026-07-14,8996,高力,出清,974,1175.0,300966
2026-07-14,2305,全友,進場YoY142%,30904,36.95,
2026-07-16,2406,國碩,出清,35324,33.95,-160724
2026-07-16,3167,大量,進場YoY140%,1399,851.0,
2026-07-17,3006,晶豪科,出清,6435,198.0,183398
2026-07-17,3167,大量,出清,1399,766.0,-118915
2026-07-20,2344,華邦電,出清,8172,151.0,16344
2026-07-21,3702,大聯大,進場YoY132%,10896,111.5,
2026-07-21,3706,神達,進場YoY81%,13306,91.3,
2026-07-21,4916,事欣科,進場YoY81%,10570,107.0,
2026-07-28,3702,大聯大,出清,10896,110.0,-16344
2026-07-28,4916,事欣科,出清,10570,97.1,-104643
2026-07-29,2101,南港,出清,40831,32.25,-71454
2026-07-29,2305,全友,出清,30904,27.45,-293588
2026-07-29,3706,神達,出清,13306,85.3,-79836
2026-08-05,8271,宇瞻,進場YoY201%,5218,227.0,
2026-08-05,3229,晟鈦,進場YoY99%,26773,44.25,
2026-08-05,3022,威強電,進場YoY80%,12138,97.6,
2026-08-05,6214,精誠,進場YoY77%,7743,153.0,
2026-08-05,2395,研華,進場YoY73%,1202,633.0,
2026-09-03,3022,威強電,出清,12138,87.2,-126235
2026-09-03,2465,麗臺,進場YoY281%,10885,96.2,
