日期,代號,名稱,動作,股數,價格,實現損益
2026-02-11,1529,樂事綠能,進場YoY277%,25050,24.95,
2026-02-11,2363,矽統,進場YoY172%,11363,55.0,
2026-02-11,3528,安馳,進場YoY152%,8668,72.1,
2026-02-11,3017,奇鋐,進場YoY150%,389,1605.0,
2026-02-11,8210,勤誠,進場YoY137%,641,975.0,
2026-02-11,2467,志聖,進場YoY124%,2289,273.0,
2026-02-11,4934,太極,進場YoY118%,38461,16.25,
2026-02-11,6805,富世達,進場YoY116%,393,1545.0,
2026-02-23,8210,勤誠,出清,641,890.0,-54485
2026-02-23,2485,兆赫,進場YoY163%,14058,40.4,
2026-03-04,2363,矽統,出清,11363,48.4,-74996
2026-03-04,3528,安馳,出清,8668,66.3,-50274
2026-03-04,2406,國碩,進場YoY189%,20930,31.65,
2026-03-04,3167,大量,進場YoY120%,1720,266.0,
2026-03-30,1529,樂事綠能,出清,25050,23.55,-35070
2026-03-30,5484,慧友,進場YoY184%,13510,43.25,
2026-03-31,4934,太極,出清,38461,16.3,1923
2026-04-01,8996,高力,進場YoY206%,685,908.0,
2026-04-02,2406,國碩,出清,20930,30.8,-17790
2026-04-02,2360,致茂,進場YoY86%,417,1535.0,
2026-04-13,5484,慧友,出清,13510,38.9,-58769
2026-04-13,3231,緯創,進場YoY118%,3908,134.5,
2026-04-30,2485,兆赫,出清,14058,58.7,257261
2026-04-30,3006,晶豪科,進場YoY188%,4807,169.5,
2026-05-14,6805,富世達,出清,393,1780.0,92355
2026-05-14,2465,麗臺,進場YoY176%,8448,82.6,
2026-05-19,3231,緯創,出清,3908,132.5,-7816
2026-05-19,2344,華邦電,進場YoY182%,4410,117.5,
2026-06-10,3017,奇鋐,出清,389,2360.0,293695
2026-06-10,2406,國碩,進場YoY143%,25254,35.85,
2026-06-24,2360,致茂,出清,417,2160.0,260625
2026-06-24,4934,太極,進場YoY281%,51033,17.55,
2026-06-26,2467,志聖,出清,2289,560.0,656943
2026-06-26,2465,麗臺,出清,8448,71.8,-91238
2026-06-26,4934,太極,出清,51033,16.3,-63791
2026-06-26,2337,旺宏,進場YoY176%,6041,162.5,
2026-06-26,2059,川湖,進場YoY172%,140,6990.0,
2026-06-26,2347,聯強,進場YoY129%,8048,92.8,
2026-07-01,2337,旺宏,出清,6041,143.5,-114779
2026-07-01,3443,創意,進場YoY132%,170,5045.0,
2026-07-07,3443,創意,出清,170,4480.0,-96050
2026-07-07,2101,南港,進場YoY159%,22320,34.1,
2026-07-09,3167,大量,出清,1720,775.0,875480
2026-07-09,6139,亞翔,進場YoY103%,1100,875.0,
2026-07-13,2347,聯強,出清,8048,82.5,-82894
2026-07-13,2305,全友,進場YoY142%,23776,39.6,
2026-07-14,8996,高力,出清,685,1175.0,182895
2026-07-14,2382,廣達,進場YoY103%,2313,380.0,
2026-07-16,2406,國碩,出清,25254,33.95,-47983
2026-07-16,3167,大量,進場YoY140%,1002,851.0,
2026-07-17,3006,晶豪科,出清,4807,198.0,137000
2026-07-17,2382,廣達,出清,2313,325.5,-126058
2026-07-17,3167,大量,出清,1002,766.0,-85170
2026-07-20,2344,華邦電,出清,4410,151.0,147735
2026-07-20,6139,亞翔,出清,1100,775.0,-110000
2026-07-21,3702,大聯大,進場YoY132%,7419,111.5,
2026-07-21,5388,中磊,進場YoY71%,9720,85.1,
2026-07-21,4916,事欣科,進場YoY81%,7731,107.0,
2026-07-21,3706,神達,進場YoY81%,9060,91.3,
2026-07-21,2395,研華,進場YoY73%,1168,567.0,
2026-07-28,3702,大聯大,出清,7419,110.0,-11128
2026-07-28,4916,事欣科,出清,7731,97.1,-76537
2026-07-29,2101,南港,出清,22320,32.25,-41292
2026-07-29,2305,全友,出清,23776,27.45,-288878
2026-07-29,5388,中磊,出清,9720,81.9,-31104
2026-07-29,3706,神達,出清,9060,85.3,-54360
2026-08-05,8271,宇瞻,進場YoY201%,3615,227.0,
2026-08-05,3229,晟鈦,進場YoY99%,18548,44.25,
2026-08-05,6214,精誠,進場YoY77%,5364,153.0,
2026-08-05,2317,鴻海,進場YoY52%,3175,258.5,
2026-08-05,3022,威強電,進場YoY80%,8409,97.6,
2026-08-05,6414,樺漢,進場YoY57%,818,469.0,
2026-08-17,2317,鴻海,出清,3175,255.0,-11112
2026-08-17,2465,麗臺,進場YoY281%,8800,90.6,
2026-08-18,6414,樺漢,出清,818,389.5,-65031
2026-08-18,2344,華邦電,進場YoY292%,1845,176.5,
2026-08-19,2344,華邦電,出清,1845,168.0,-15682
2026-08-20,7750,新代,進場YoY203%,125,2460.0,
2026-08-24,7750,新代,出清,125,2140.0,-40000
2026-08-25,3135,凌航,進場YoY204%,1487,180.0,
2026-09-01,3135,凌航,出清,1487,173.0,-10409
2026-09-01,3167,大量,進場YoY153%,320,800.0,
2026-09-03,3022,威強電,出清,8409,87.2,-87454
2026-09-03,3167,大量,出清,320,730.0,-22400
2026-09-03,6885,全福生技,進場YoY109%,38450,23.25,
2026-09-03,1316,上曜,進場YoY102%,6587,10.75,
