日期,代號,名稱,動作,股數,價格,實現損益
2026-02-11,1529,樂事綠能,進場YoY277%,20040,24.95,
2026-02-11,2363,矽統,進場YoY172%,9090,55.0,
2026-02-11,3528,安馳,進場YoY152%,6934,72.1,
2026-02-11,3017,奇鋐,進場YoY150%,311,1605.0,
2026-02-11,8210,勤誠,進場YoY137%,512,975.0,
2026-02-11,2467,志聖,進場YoY124%,1831,273.0,
2026-02-11,4934,太極,進場YoY118%,30769,16.25,
2026-02-11,6805,富世達,進場YoY116%,323,1545.0,
2026-02-11,2208,台船,進場YoY75%,21276,23.5,
2026-02-11,2360,致茂,進場YoY72%,463,1050.0,
2026-02-11,1714,和桐,進場YoY58%,1019,9.25,
2026-02-25,8210,勤誠,出清,512,909.0,-33792
2026-02-25,2485,兆赫,進場YoY163%,10815,42.0,
2026-02-25,6209,今國光,進場YoY55%,130,65.2,
2026-03-04,6209,今國光,出清,130,53.1,-1573
2026-03-04,2406,國碩,進場YoY189%,218,31.65,
2026-03-06,3528,安馳,出清,6934,67.5,-31896
2026-03-06,6669,緯穎,進場YoY122%,108,4215.0,
2026-03-11,2208,台船,出清,21276,21.35,-45743
2026-03-11,1762,中化生,進場YoY161%,15107,30.0,
2026-03-18,6669,緯穎,出清,108,3825.0,-42120
2026-03-18,8996,高力,進場YoY206%,432,952.0,
2026-03-24,2363,矽統,出清,9090,48.9,-55449
2026-03-24,2451,創見,進場YoY246%,1745,253.0,
2026-04-01,1529,樂事綠能,出清,20040,23.5,-29058
2026-04-01,2451,創見,出清,1745,230.0,-40135
2026-04-01,5484,慧友,進場YoY184%,13124,44.7,
2026-04-01,6944,兆聯實業,進場YoY101%,350,810.0,
2026-04-02,4934,太極,出清,30769,15.95,-9231
2026-04-02,2345,智邦,進場YoY83%,304,1590.0,
2026-04-15,5484,慧友,出清,13124,39.2,-72182
2026-04-15,3135,凌航,進場YoY140%,4094,125.0,
2026-04-27,2406,國碩,出清,218,29.6,-447
2026-04-27,8112,至上,進場YoY192%,177,89.1,
2026-05-05,1714,和桐,出清,1019,9.26,10
2026-05-05,3028,增你強,進場YoY125%,137,69.6,
2026-05-18,6805,富世達,出清,323,1735.0,61370
2026-05-18,3443,創意,進場YoY157%,115,4740.0,
2026-06-04,2485,兆赫,出清,10815,65.8,257397
2026-06-04,2465,麗臺,進場YoY176%,8290,85.2,
2026-06-12,3017,奇鋐,出清,311,2405.0,248800
2026-06-12,4739,康普,進場YoY141%,5646,121.5,
2026-06-30,2360,致茂,出清,463,2160.0,513930
2026-06-30,2465,麗臺,出清,8290,71.2,-116060
2026-06-30,2344,華邦電,進場YoY182%,3415,207.5,
2026-06-30,2383,台光電,進場YoY115%,131,5390.0,
2026-07-08,3135,凌航,出清,4094,171.5,190371
2026-07-08,2101,南港,進場YoY159%,19596,33.7,
2026-07-09,3443,創意,出清,115,4340.0,-46000
2026-07-09,3006,晶豪科,進場YoY297%,2761,237.0,
2026-07-13,8112,至上,出清,177,87.5,-283
