日期,代號,名稱,動作,股數,價格,實現損益
2026-02-11,1529,樂事綠能,進場YoY277%,20040,24.95,
2026-02-11,2363,矽統,進場YoY172%,9090,55.0,
2026-02-11,3528,安馳,進場YoY152%,6934,72.1,
2026-02-11,3017,奇鋐,進場YoY150%,311,1605.0,
2026-02-11,8210,勤誠,進場YoY137%,512,975.0,
2026-02-11,2467,志聖,進場YoY124%,1831,273.0,
2026-02-11,4934,太極,進場YoY118%,30769,16.25,
2026-02-11,6805,富世達,進場YoY116%,323,1545.0,
2026-02-11,2208,台船,進場YoY75%,21276,23.5,
2026-02-11,2360,致茂,進場YoY72%,463,1050.0,
2026-02-11,1714,和桐,進場YoY58%,1019,9.25,
2026-03-03,2363,矽統,出清,9090,51.9,-28179
2026-03-03,3528,安馳,出清,6934,68.9,-22189
2026-03-03,6669,緯穎,進場YoY122%,133,4145.0,
2026-03-03,7750,新代,進場YoY103%,307,1255.0,
2026-03-03,1312,國喬,進場YoY84%,555,13.4,
2026-03-09,2208,台船,出清,21276,20.15,-71275
2026-03-09,6669,緯穎,出清,133,3930.0,-28595
2026-03-09,2406,國碩,進場YoY189%,16094,32.05,
2026-03-09,4989,榮科,進場YoY170%,6875,61.4,
2026-03-24,8210,勤誠,出清,512,868.0,-54784
2026-03-24,2451,創見,進場YoY246%,1745,253.0,
2026-04-27,1529,樂事綠能,出清,20040,22.2,-55110
2026-04-27,8996,高力,進場YoY205%,413,1070.0,
2026-04-28,4934,太極,出清,30769,15.55,-21538
2026-04-28,8112,至上,進場YoY192%,5521,86.1,
2026-04-29,1312,國喬,出清,555,12.35,-583
2026-04-29,3231,緯創,進場YoY118%,111,140.5,
2026-04-30,3231,緯創,出清,111,137.0,-388
2026-04-30,3028,增你強,進場YoY125%,221,68.3,
2026-06-17,6805,富世達,出清,323,1715.0,54910
2026-06-17,4934,太極,進場YoY281%,31079,17.4,
2026-06-26,4934,太極,出清,31079,16.3,-34187
2026-06-26,2344,華邦電,進場YoY182%,2442,206.5,
2026-07-01,2451,創見,出清,1745,250.5,-4362
2026-07-01,2347,聯強,進場YoY129%,4657,93.6,
2026-07-14,3017,奇鋐,出清,311,2120.0,160165
2026-07-14,4989,榮科,出清,6875,80.0,127875
2026-07-14,2305,全友,進場YoY142%,16238,36.95,
2026-07-14,3702,大聯大,進場YoY132%,5014,119.5,
2026-07-17,2406,國碩,出清,16094,30.75,-20922
2026-07-17,8996,高力,出清,413,1015.0,-22715
2026-07-17,8112,至上,出清,5521,81.9,-23188
2026-07-21,3706,神達,進場YoY81%,6333,91.3,
2026-07-21,4916,事欣科,進場YoY81%,5404,107.0,
2026-07-21,2395,研華,進場YoY73%,369,567.0,
2026-07-27,3028,增你強,出清,221,64.1,-928
2026-07-29,2467,志聖,出清,1831,461.0,344228
2026-07-29,2360,致茂,出清,463,1835.0,363455
2026-07-29,2344,華邦電,出清,2442,130.0,-186813
2026-07-30,7750,新代,出清,307,1850.0,182665
2026-08-05,8271,宇瞻,進場YoY201%,2447,227.0,
2026-08-05,3229,晟鈦,進場YoY99%,12557,44.25,
2026-08-05,3022,威強電,進場YoY80%,5693,97.6,
2026-08-05,6214,精誠,進場YoY77%,3631,153.0,
2026-08-05,5388,中磊,進場YoY71%,3855,91.6,
2026-08-12,5388,中磊,出清,3855,82.4,-35466
2026-08-12,2344,華邦電,進場YoY292%,1788,177.0,
2026-08-27,3702,大聯大,出清,5014,101.5,-90252
2026-08-27,2465,麗臺,進場YoY281%,5266,95.4,
