日期,代號,名稱,動作,股數,價格,實現損益
2026-02-11,1529,樂事綠能,進場YoY277%,25050,24.95,
2026-02-11,2363,矽統,進場YoY172%,11363,55.0,
2026-02-11,3528,安馳,進場YoY152%,8668,72.1,
2026-02-11,3017,奇鋐,進場YoY150%,389,1605.0,
2026-02-11,8210,勤誠,進場YoY137%,641,975.0,
2026-02-11,2467,志聖,進場YoY124%,2289,273.0,
2026-02-11,4934,太極,進場YoY118%,38461,16.25,
2026-02-11,6805,富世達,進場YoY116%,393,1545.0,
2026-02-23,8210,勤誠,出清,641,890.0,-54485
2026-02-23,2485,兆赫,進場YoY163%,14058,40.4,
2026-03-04,2363,矽統,出清,11363,48.4,-74996
2026-03-04,3528,安馳,出清,8668,66.3,-50274
2026-03-04,2406,國碩,進場YoY189%,20930,31.65,
2026-03-04,3167,大量,進場YoY120%,1720,266.0,
2026-03-30,1529,樂事綠能,出清,25050,23.55,-35070
2026-03-30,4739,康普,進場YoY192%,7143,81.8,
2026-03-31,4934,太極,出清,38461,16.3,1923
2026-04-01,8996,高力,進場YoY206%,685,908.0,
2026-04-02,2406,國碩,出清,20930,30.8,-17790
2026-04-02,5484,慧友,進場YoY184%,14788,43.35,
2026-04-13,5484,慧友,出清,14788,38.9,-65807
2026-04-13,3028,增你強,進場YoY125%,9585,59.8,
2026-04-30,2485,兆赫,出清,14058,58.7,257261
2026-04-30,3006,晶豪科,進場YoY188%,4813,169.5,
2026-05-14,6805,富世達,出清,393,1780.0,92355
2026-05-14,2465,麗臺,進場YoY176%,8446,82.6,
2026-06-10,3017,奇鋐,出清,389,2360.0,293695
2026-06-10,2344,華邦電,進場YoY182%,6098,149.0,
2026-06-26,2467,志聖,出清,2289,560.0,656943
2026-06-26,2465,麗臺,出清,8446,71.8,-91217
2026-06-26,2337,旺宏,進場YoY176%,6181,162.5,
2026-06-26,2059,川湖,進場YoY172%,124,6990.0,
2026-07-01,2337,旺宏,出清,6181,143.5,-117439
2026-07-01,4934,太極,進場YoY281%,50190,17.7,
2026-07-07,4934,太極,出清,50190,16.85,-42661
2026-07-07,2101,南港,進場YoY159%,24682,34.1,
2026-07-08,3028,增你強,出清,9585,74.1,137065
2026-07-08,2406,國碩,進場YoY121%,18146,39.05,
2026-07-09,3167,大量,出清,1720,775.0,875480
2026-07-09,4739,康普,出清,7143,99.0,122860
2026-07-09,6139,亞翔,進場YoY103%,1094,875.0,
2026-07-09,2305,全友,進場YoY98%,26614,36.0,
2026-07-14,8996,高力,出清,685,1175.0,182895
2026-07-14,3702,大聯大,進場YoY132%,7609,119.5,
2026-07-16,2406,國碩,出清,18146,33.95,-92545
2026-07-16,3167,大量,進場YoY140%,726,851.0,
2026-07-17,3006,晶豪科,出清,4813,198.0,137170
2026-07-17,3702,大聯大,出清,7609,109.5,-76090
2026-07-17,3167,大量,出清,726,766.0,-61710
2026-07-20,2344,華邦電,出清,6098,151.0,12196
2026-07-20,6139,亞翔,出清,1094,775.0,-109400
2026-07-21,3706,神達,進場YoY81%,9276,91.3,
2026-07-21,4916,事欣科,進場YoY81%,7915,107.0,
2026-07-21,2395,研華,進場YoY73%,1493,567.0,
2026-07-21,5388,中磊,進場YoY71%,9952,85.1,
2026-07-21,2520,冠德,進場YoY52%,19560,35.7,
2026-07-28,4916,事欣科,出清,7915,97.1,-78359
2026-07-29,2101,南港,出清,24682,32.25,-45662
2026-07-29,2305,全友,出清,26614,27.45,-227550
2026-07-29,3706,神達,出清,9276,85.3,-55656
2026-07-29,5388,中磊,出清,9952,81.9,-31846
2026-08-05,8271,宇瞻,進場YoY201%,3682,227.0,
2026-08-05,3229,晟鈦,進場YoY99%,18891,44.25,
2026-08-05,3022,威強電,進場YoY80%,8565,97.6,
2026-08-05,6214,精誠,進場YoY77%,5463,153.0,
2026-08-05,6414,樺漢,進場YoY57%,1147,469.0,
2026-08-18,6414,樺漢,出清,1147,389.5,-91186
2026-08-18,2344,華邦電,進場YoY292%,2527,176.5,
2026-08-19,2344,華邦電,出清,2527,168.0,-21480
2026-08-20,2465,麗臺,進場YoY281%,4913,86.0,
2026-09-03,3022,威強電,出清,8565,87.2,-89076
2026-09-03,3135,凌航,進場YoY204%,4270,172.5,
