日期,代號,名稱,動作,股數,價格,實現損益
2026-02-11,1529,樂事綠能,進場YoY277%,20040,24.95,
2026-02-11,2363,矽統,進場YoY172%,9090,55.0,
2026-02-11,3528,安馳,進場YoY152%,6934,72.1,
2026-02-11,3017,奇鋐,進場YoY150%,311,1605.0,
2026-02-11,8210,勤誠,進場YoY137%,512,975.0,
2026-02-11,2467,志聖,進場YoY124%,1831,273.0,
2026-02-11,4934,太極,進場YoY118%,30769,16.25,
2026-02-11,6805,富世達,進場YoY116%,323,1545.0,
2026-02-11,2208,台船,進場YoY75%,21276,23.5,
2026-02-11,2360,致茂,進場YoY72%,463,1050.0,
2026-02-11,1714,和桐,進場YoY58%,1019,9.25,
2026-03-23,2363,矽統,出清,9090,49.1,-53631
2026-03-23,3528,安馳,出清,6934,62.0,-70033
2026-03-23,8210,勤誠,出清,512,893.0,-41984
2026-03-23,2208,台船,出清,21276,20.7,-59573
2026-03-23,2451,創見,進場YoY246%,1998,272.0,
2026-03-23,4739,康普,進場YoY192%,6351,85.6,
2026-03-23,2406,國碩,進場YoY160%,15206,35.75,
2026-03-23,6531,愛普*,進場YoY147%,249,523.0,
2026-03-23,8476,台境*,進場YoY43%,134,19.95,
2026-03-30,1529,樂事綠能,出清,20040,23.55,-28056
2026-03-30,5484,慧友,進場YoY184%,10647,43.25,
2026-03-31,4934,太極,出清,30769,16.3,1538
2026-04-01,8996,高力,進場YoY206%,548,908.0,
2026-04-22,8476,台境*,出清,134,18.3,-221
2026-04-22,3028,增你強,進場YoY125%,189,63.2,
2026-04-23,2406,國碩,出清,15206,29.65,-92757
2026-04-23,3231,緯創,進場YoY118%,3155,139.5,
2026-04-28,1714,和桐,出清,1019,9.56,316
2026-04-28,8112,至上,進場YoY192%,205,86.1,
2026-04-29,5484,慧友,出清,10647,37.75,-58558
2026-04-29,2404,漢唐,進場YoY101%,409,959.0,
2026-05-14,6805,富世達,出清,323,1780.0,75905
2026-05-14,2465,麗臺,進場YoY176%,6883,82.6,
2026-06-08,8112,至上,出清,205,84.7,-287
2026-06-08,2344,華邦電,進場YoY182%,178,154.0,
2026-06-10,3017,奇鋐,出清,311,2360.0,234805
2026-06-10,2406,國碩,進場YoY143%,18282,35.85,
2026-06-24,2360,致茂,出清,463,2160.0,513930
2026-06-24,3006,晶豪科,進場YoY297%,2755,246.5,
2026-06-25,2451,創見,出清,1998,288.0,31968
2026-06-25,4934,太極,進場YoY281%,38914,17.45,
2026-06-26,2467,志聖,出清,1831,560.0,525497
2026-06-26,2465,麗臺,出清,6883,71.8,-74336
2026-06-26,2337,旺宏,進場YoY176%,3963,162.5,
2026-06-26,2347,聯強,進場YoY129%,6940,92.8,
2026-07-07,6531,愛普*,出清,249,895.0,92628
2026-07-07,2101,南港,進場YoY159%,18629,34.1,
2026-07-08,3028,增你強,出清,189,74.1,2060
2026-07-08,3231,緯創,出清,3155,146.5,22085
2026-07-08,6139,亞翔,進場YoY103%,640,866.0,
2026-07-08,2305,全友,進場YoY98%,313,35.15,
2026-07-09,4739,康普,出清,6351,99.0,85103
2026-07-09,2495,普安,進場YoY87%,11688,52.5,
2026-07-14,8996,高力,出清,548,1175.0,146316
2026-07-14,3702,大聯大,進場YoY132%,4927,119.5,
2026-07-16,2406,國碩,出清,18282,33.95,-34736
2026-07-16,3167,大量,進場YoY140%,690,851.0,
2026-07-20,2404,漢唐,出清,409,1135.0,71984
2026-07-20,2344,華邦電,出清,178,151.0,-534
2026-07-21,3706,神達,進場YoY81%,6000,91.3,
2026-07-21,4916,事欣科,進場YoY81%,305,107.0,
2026-07-23,3006,晶豪科,出清,2755,212.5,-93670
2026-07-23,3022,威強電,進場YoY80%,6063,92.2,
2026-07-24,4934,太極,出清,38914,15.25,-85611
2026-07-27,2337,旺宏,出清,3963,125.5,-146631
2026-07-28,2347,聯強,出清,6940,86.0,-47192
2026-08-05,8271,宇瞻,進場YoY201%,2453,227.0,
2026-08-05,3229,晟鈦,進場YoY99%,12587,44.25,
2026-08-05,6214,精誠,進場YoY77%,3640,153.0,
2026-08-06,2305,全友,出清,313,26.45,-2723
2026-08-06,2347,聯強,進場YoY135%,403,94.7,
2026-08-07,6139,亞翔,出清,640,802.0,-40960
2026-08-07,2495,普安,出清,11688,36.85,-182917
2026-08-10,8112,至上,進場YoY231%,6198,92.4,
2026-08-10,5388,中磊,進場YoY71%,3843,93.6,
2026-08-13,3167,大量,出清,690,674.0,-122130
2026-08-13,2344,華邦電,進場YoY292%,2601,177.0,
2026-08-14,2101,南港,出清,18629,31.55,-47504
2026-08-14,2360,致茂,進場YoY175%,243,2300.0,
2026-08-17,3702,大聯大,出清,4927,111.0,-41880
2026-08-17,2465,麗臺,進場YoY281%,6174,90.6,
2026-08-18,4916,事欣科,出清,305,100.5,-1982
2026-08-18,1316,上曜,進場YoY102%,4608,10.45,
2026-09-03,3022,威強電,出清,6063,87.2,-30315
2026-09-03,2347,聯強,出清,403,86.4,-3345
2026-09-03,3135,凌航,進場YoY204%,3093,172.5,
2026-09-03,6885,全福生技,進場YoY109%,1164,23.25,
