日期,代號,名稱,動作,股數,價格,實現損益
2026-02-11,1529,樂事綠能,進場YoY277%,25050,24.95,
2026-02-11,2363,矽統,進場YoY172%,11363,55.0,
2026-02-11,3528,安馳,進場YoY152%,8668,72.1,
2026-02-11,3017,奇鋐,進場YoY150%,389,1605.0,
2026-02-11,8210,勤誠,進場YoY137%,641,975.0,
2026-02-11,2467,志聖,進場YoY124%,2289,273.0,
2026-02-11,4934,太極,進場YoY118%,38461,16.25,
2026-02-11,6805,富世達,進場YoY116%,393,1545.0,
2026-02-25,8210,勤誠,出清,641,909.0,-42306
2026-02-25,2485,兆赫,進場YoY163%,13805,42.0,
2026-03-06,3528,安馳,出清,8668,67.5,-39873
2026-03-06,2406,國碩,進場YoY189%,17057,34.1,
2026-03-24,2363,矽統,出清,11363,48.9,-69314
2026-03-24,2451,創見,進場YoY246%,2185,253.0,
2026-04-01,1529,樂事綠能,出清,25050,23.5,-36322
2026-04-01,2451,創見,出清,2185,230.0,-50255
2026-04-01,8996,高力,進場YoY206%,813,908.0,
2026-04-01,5484,慧友,進場YoY184%,7844,44.7,
2026-04-02,4934,太極,出清,38461,15.95,-11538
2026-04-02,2360,致茂,進場YoY86%,394,1535.0,
2026-04-15,5484,慧友,出清,7844,39.2,-43142
2026-04-15,3135,凌航,進場YoY140%,2492,125.0,
2026-04-27,2406,國碩,出清,17057,29.6,-76756
2026-04-27,8112,至上,進場YoY192%,5594,89.1,
2026-05-18,6805,富世達,出清,393,1735.0,74670
2026-05-18,3443,創意,進場YoY157%,142,4740.0,
2026-06-04,2485,兆赫,出清,13805,65.8,328559
2026-06-04,2465,麗臺,進場YoY176%,10427,85.2,
2026-06-12,3017,奇鋐,出清,389,2405.0,311200
2026-06-12,4739,康普,進場YoY141%,6698,121.5,
2026-06-30,2360,致茂,出清,394,2160.0,246250
2026-06-30,2465,麗臺,出清,10427,71.2,-145978
2026-06-30,2344,華邦電,進場YoY182%,4114,207.5,
2026-06-30,2383,台光電,進場YoY115%,158,5390.0,
2026-07-08,3135,凌航,出清,2492,171.5,115878
2026-07-08,2101,南港,進場YoY159%,13073,33.7,
2026-07-09,3443,創意,出清,142,4340.0,-56800
2026-07-09,3006,晶豪科,進場YoY297%,2571,237.0,
2026-07-13,8112,至上,出清,5594,87.5,-8950
2026-07-13,2305,全友,進場YoY142%,12350,39.6,
2026-07-14,4739,康普,出清,6698,91.3,-202280
2026-07-14,3702,大聯大,進場YoY132%,5069,119.5,
2026-07-16,8996,高力,出清,813,1125.0,176421
2026-07-16,3167,大量,進場YoY140%,859,851.0,
2026-07-20,2383,台光電,出清,158,4395.0,-157210
2026-07-21,2467,志聖,出清,2289,530.0,588273
2026-07-21,3006,晶豪科,出清,2571,199.5,-96412
2026-07-21,3167,大量,出清,859,729.0,-104798
2026-07-21,3706,神達,進場YoY81%,7206,91.3,
2026-07-21,4916,事欣科,進場YoY81%,6148,107.0,
2026-07-21,2395,研華,進場YoY73%,1160,567.0,
2026-07-21,5388,中磊,進場YoY71%,7731,85.1,
2026-07-30,2344,華邦電,出清,4114,118.5,-366146
2026-07-30,3702,大聯大,出清,5069,105.5,-70966
2026-07-30,4916,事欣科,出清,6148,88.5,-113738
2026-07-31,3706,神達,出清,7206,87.4,-28103
2026-07-31,5388,中磊,出清,7731,82.3,-21647
2026-08-05,8271,宇瞻,進場YoY201%,2728,227.0,
2026-08-05,3229,晟鈦,進場YoY99%,13997,44.25,
2026-08-05,3022,威強電,進場YoY80%,6346,97.6,
2026-08-05,6214,精誠,進場YoY77%,4048,153.0,
2026-08-05,6414,樺漢,進場YoY57%,1320,469.0,
2026-08-10,2305,全友,出清,12350,29.05,-130293
2026-08-10,2347,聯強,進場YoY135%,7045,91.9,
2026-08-18,2101,南港,出清,13073,32.0,-22224
2026-08-18,7750,新代,進場YoY203%,170,2490.0,
2026-08-19,2347,聯強,出清,7045,86.3,-39452
2026-08-20,1316,上曜,進場YoY102%,56492,10.65,
2026-08-24,6414,樺漢,出清,1320,395.5,-97020
2026-08-25,7788,松川精密,進場YoY99%,2013,258.5,
