日期,代號,名稱,動作,股數,價格,實現損益
2026-02-11,1529,樂事綠能,進場YoY277%,25050,24.95,
2026-02-11,2363,矽統,進場YoY172%,11363,55.0,
2026-02-11,3528,安馳,進場YoY152%,8668,72.1,
2026-02-11,3017,奇鋐,進場YoY150%,389,1605.0,
2026-02-11,8210,勤誠,進場YoY137%,641,975.0,
2026-02-11,2467,志聖,進場YoY124%,2289,273.0,
2026-02-11,4934,太極,進場YoY118%,38461,16.25,
2026-02-11,6805,富世達,進場YoY116%,393,1545.0,
2026-03-05,2363,矽統,出清,11363,50.3,-53406
2026-03-05,3528,安馳,出清,8668,67.6,-39006
2026-03-05,2406,國碩,進場YoY189%,21255,31.75,
2026-03-05,6669,緯穎,進場YoY122%,113,4220.0,
2026-03-19,6669,緯穎,出清,113,3765.0,-51415
2026-03-19,8996,高力,進場YoY206%,447,951.0,
2026-04-08,8210,勤誠,出清,641,898.0,-49357
2026-04-08,5484,慧友,進場YoY184%,13410,42.5,
2026-04-20,5484,慧友,出清,13410,39.05,-46265
2026-04-20,3028,增你強,進場YoY125%,8507,61.3,
2026-04-29,1529,樂事綠能,出清,25050,21.8,-78907
2026-04-29,8112,至上,進場YoY192%,6405,84.7,
2026-06-10,4934,太極,出清,38461,16.25,0
2026-06-10,2344,華邦電,進場YoY182%,4160,149.0,
2026-06-30,6805,富世達,出清,393,1680.0,53055
2026-06-30,2383,台光電,進場YoY115%,121,5390.0,
2026-07-21,2406,國碩,出清,21255,32.1,7439
2026-07-21,8996,高力,出清,447,983.0,14304
2026-07-21,3702,大聯大,進場YoY132%,6274,111.5,
2026-07-21,3706,神達,進場YoY81%,4639,91.3,
2026-07-29,3028,增你強,出清,8507,58.3,-25521
2026-07-30,8112,至上,出清,6405,75.6,-58286
2026-07-31,2467,志聖,出清,2289,478.5,470390
2026-07-31,2344,華邦電,出清,4160,130.0,-79040
2026-08-05,8271,宇瞻,進場YoY201%,3053,227.0,
2026-08-05,3229,晟鈦,進場YoY99%,15663,44.25,
2026-08-05,3022,威強電,進場YoY80%,7101,97.6,
2026-08-05,6214,精誠,進場YoY77%,3398,153.0,
2026-08-31,3702,大聯大,出清,6274,99.6,-74661
2026-08-31,2465,麗臺,進場YoY281%,6590,94.0,
