版本,說明,2026報酬%,最大回撤%,交易數,進場數,出清勝率%,期末持股,期末
D0,60MA或前低出清，12檔x10%,+44.34,-29.05,123,67,27,11,"7,217,124"
G,只看60MA，不看前低,+42.56,-29.31,120,66,28,12,"7,127,966"
H,60MA連3日確認,+9.81,-33.92,96,54,26,12,"5,490,698"
I,120MA出清,+10.41,-30.86,60,36,25,12,"5,520,650"
J,G＋8檔x12.5%,+49.98,-29.09,72,40,34,8,"7,499,081"
K,G＋進場後20日不出場,+8.23,-31.40,88,50,34,12,"5,411,644"
L,G＋出清後40日不再買同檔,+44.07,-29.17,116,64,29,12,"7,203,433"
M,G＋累計YoY≥15且乖離<10%,+39.74,-27.87,137,74,24,11,"6,986,967"
N,H＋J＋L,+3.34,-35.81,70,39,23,8,"5,167,070"
O,N＋120MA,+17.85,-28.48,38,23,27,8,"5,892,381"
P,O＋累計YoY≥15,+17.85,-28.48,38,23,27,8,"5,892,381"
0050,買進持有,+61.17,-15.88,,,,,
