版本,說明,2026報酬%,最大回撤%,交易數,進場數,出清勝率%,期末持股,期末
J,8檔x12.5%（上輪最佳）,+49.98,-29.09,72,40,34,8,"7,499,081"
J6,6檔x16.7%,+63.14,-32.57,52,29,35,6,"8,157,037"
J5,5檔x20%,+69.25,-28.96,39,22,41,5,"8,462,281"
J4,4檔x25%,+64.97,-32.82,32,18,36,4,"8,248,566"
Q1,J＋排序 YoY×累計YoY,+46.90,-29.04,86,47,26,8,"7,344,789"
Q2,J＋排序 累計YoY,+45.75,-30.98,78,43,29,8,"7,287,671"
Q3,"J＋排序 min(當月,累計)",+37.44,-28.53,86,47,26,8,"6,871,839"
Q4,"6檔＋排序 min(當月,累計)",+58.84,-29.06,62,34,25,6,"7,942,213"
Q5,6檔＋YoY×累計,+67.82,-28.61,54,30,29,6,"8,390,775"
Q6,J＋乖離<10%,+41.81,-28.88,84,46,29,8,"7,090,465"
Q7,6檔＋乖離<10%＋min排序,+61.92,-29.82,58,32,27,6,"8,096,055"
0050,買進持有,+61.17,-15.88,,,,,
