日期,代號,名稱,動作,股數,價格,實現損益
2025-09-01,,,月權益,,5000000,
2025-09-30,,,月權益,,5000000,
2025-10-01,,,月權益,,5000000,
2025-10-31,,,月權益,,5000000,
2025-11-28,,,月權益,,5000000,
2025-12-01,,,月權益,,5000000,
2025-12-31,,,月權益,,5000000,
2026-01-05,2408,南亞科,"報價位進場(記憶體,第1次)",4014,208.0,
2026-01-30,,,月權益,,5474469.2504,
2026-02-11,3017,奇鋐,進場YoY150% 散熱/無,433,1605.0,
2026-02-11,8210,勤誠,進場YoY137% 機殼導軌/主軸,713,975.0,
2026-02-11,2467,志聖,進場YoY124% PCB設備/無,2547,273.0,
2026-02-11,3324,雙鴻,進場YoY122% 散熱/無,652,1065.0,
2026-02-11,6274,台燿,進場YoY75% PCB_CCL/無,1307,532.0,
2026-02-23,8210,勤誠,出清,713,890.0,-60605
2026-02-23,2485,兆赫,進場YoY163% 網通交換器/無,16759,40.4,
2026-02-26,,,月權益,,5584863.738145,
2026-03-09,2408,南亞科,報價位出清(獲利後破60MA),4014,210.0,8028
2026-03-09,3324,雙鴻,出清,652,894.0,-111492
2026-03-09,6274,台燿,出清,1307,454.0,-101946
2026-03-18,2327,國巨,"報價位進場(被動元件,第1次)",3459,280.5,
2026-03-31,,,月權益,,5745631.5460575,
2026-04-01,,,月權益,,5840550.1460575005,
2026-04-09,8996,高力,進場YoY206% 散熱/無,838,1010.0,
2026-04-09,4739,康普,進場YoY192% PCB_CCL/無,9818,82.7,
2026-04-24,2485,兆赫,停利出清,16759,60.5,336856
2026-04-24,3231,緯創,進場YoY118% 伺服器ODM/無,6493,141.5,
2026-04-30,,,月權益,,6749604.501727501,
2026-05-19,3231,緯創,出清,6493,132.5,-58437
2026-05-19,3167,大量,進場YoY114% PCB設備/候選,1121,784.0,
2026-05-29,,,月權益,,8229454.293465,
2026-06-01,,,月權益,,8469147.293465,
2026-06-10,3017,奇鋐,出清,433,2360.0,326915
2026-06-10,2382,廣達,進場YoY121% 伺服器ODM/候選,2495,380.5,
2026-06-26,2467,志聖,出清,2547,560.0,730989
2026-06-26,2059,川湖,進場YoY172% 機殼導軌/無,131,6990.0,
2026-06-30,,,月權益,,9843409.8300275,
2026-07-01,,,月權益,,9866770.8300275,
2026-07-09,4739,康普,出清,9818,99.0,160033
2026-07-09,3167,大量,出清,1121,775.0,-10089
2026-07-09,6139,亞翔,進場YoY103% 半導體設備材料/無,1054,875.0,
2026-07-13,2327,國巨,報價位出清(T4),3459,816.0,1852294
2026-07-13,2467,志聖,進場YoY94% PCB設備/無,2341,595.0,
2026-07-14,2408,南亞科,"報價位進場(記憶體,第2次)",3015,448.0,
2026-07-14,8996,高力,出清,838,1175.0,138270
2026-07-14,2467,志聖,出清,2341,536.0,-138119
2026-07-14,3706,神達,進場YoY81% 伺服器ODM/候選,12523,89.7,
2026-07-15,5388,中磊,進場YoY71% 網通交換器/候選,12838,89.4,
2026-07-17,2382,廣達,出清,2495,325.5,-137225
2026-07-20,6139,亞翔,出清,1054,775.0,-105400
2026-07-20,5388,中磊,出清,12838,82.8,-84731
2026-07-29,2408,南亞科,報價位出清(硬停損-15%),3015,353.5,-284918
2026-07-29,3706,神達,出清,12523,85.3,-55101
2026-07-31,,,月權益,,7410682.255397499,
2026-08-05,2606,裕民,"報價位進場(航運,第1次)",19736,64.5,
2026-08-10,6187,萬潤,進場YoY87% 半導體設備材料/候選,1021,1090.0,
2026-08-10,3324,雙鴻,進場YoY62% 散熱/候選,1102,1010.0,
2026-08-10,3231,緯創,進場YoY54% 伺服器ODM/候選,5768,193.0,
2026-08-10,2317,鴻海,進場YoY52% 伺服器ODM/候選,4209,264.5,
2026-08-11,6187,萬潤,出清,1021,1050.0,-40840
2026-08-11,2465,麗臺,進場YoY281% 伺服器ODM/候選,12855,86.9,
2026-08-17,2317,鴻海,出清,4209,255.0,-39986
2026-08-17,3003,健和興,進場YoY93% 連接器線材/無,17199,66.2,
2026-08-18,3324,雙鴻,出清,1102,978.0,-35264
2026-08-18,6274,台燿,進場YoY122% PCB_CCL/主軸,735,1545.0,
2026-08-19,6274,台燿,出清,735,1500.0,-33075
2026-08-20,2383,台光電,進場YoY129% PCB_CCL/主軸,184,5985.0,
2026-08-31,,,月權益,,8246891.799382498,
2026-09-01,,,月權益,,8278784.199382498,
2026-09-03,2383,台光電,出清,184,5290.0,-127880
2026-09-03,3081,聯亞,進場YoY177% 光通訊_CPO/候選,355,3120.0,
2026-09-04,,,月權益,,8344411.451382498,
