日期,代號,名稱,動作,股數,價格,實現損益
2026-02-11,1529,樂事綠能,進場YoY277%,25050,24.95,
2026-02-11,6727,亞泰金屬,進場YoY266%,3229,193.5,
2026-02-11,6654,天正國際,進場YoY207%,6663,93.8,
2026-02-11,2363,矽統,進場YoY172%,11363,55.0,
2026-02-11,3528,安馳,進場YoY152%,8668,72.1,
2026-02-11,3017,奇鋐,進場YoY150%,389,1605.0,
2026-02-11,8210,勤誠,進場YoY137%,641,975.0,
2026-02-11,2467,志聖,進場YoY124%,2224,273.0,
2026-02-23,8210,勤誠,出清,641,890.0,-54485
2026-02-23,2485,兆赫,進場YoY163%,14061,40.4,
2026-03-04,2363,矽統,出清,11363,48.4,-74996
2026-03-04,3528,安馳,出清,8668,66.3,-50274
2026-03-04,4768,晶呈科技,進場YoY229%,1425,454.5,
2026-03-04,3691,碩禾,進場YoY196%,3968,119.0,
2026-03-09,6727,亞泰金屬,出清,3229,183.0,-33904
2026-03-09,6654,天正國際,出清,6663,88.5,-35314
2026-03-09,2406,國碩,進場YoY189%,19569,32.05,
2026-03-09,4989,榮科,進場YoY170%,8879,61.4,
2026-03-30,1529,樂事綠能,出清,25050,23.55,-35070
2026-03-30,8472,納維康,進場YoY202%,7528,77.8,
2026-03-31,3691,碩禾,出清,3968,103.5,-61504
2026-04-01,8996,高力,進場YoY206%,453,908.0,
2026-04-02,2406,國碩,出清,19569,30.8,-24461
2026-04-02,5484,慧友,進場YoY184%,13748,43.35,
2026-04-13,5484,慧友,出清,13748,38.9,-61179
2026-04-13,3489,森寶,進場YoY136%,21795,24.45,
2026-04-24,8472,納維康,出清,7528,68.5,-70010
2026-04-24,8112,至上,進場YoY192%,6226,82.4,
2026-04-30,2485,兆赫,出清,14061,58.7,257316
2026-04-30,8299,群聯,進場YoY221%,428,1900.0,
2026-05-14,4768,晶呈科技,出清,1425,462.0,10688
2026-05-14,3489,森寶,出清,21795,21.95,-54488
2026-05-14,6903,巨漢,進場YoY297%,1995,410.0,
2026-05-14,2465,麗臺,進場YoY176%,3912,82.6,
2026-06-08,4989,榮科,出清,8879,83.1,192674
2026-06-08,8112,至上,出清,6226,84.7,14320
2026-06-08,2344,華邦電,進場YoY182%,4967,154.0,
2026-06-08,3691,碩禾,進場YoY163%,3169,154.5,
2026-06-10,3017,奇鋐,出清,389,2360.0,293695
2026-06-10,6903,巨漢,出清,1995,370.0,-79800
2026-06-10,2406,國碩,進場YoY143%,20545,35.85,
2026-06-10,5410,國眾,進場YoY122%,18345,40.15,
2026-06-26,2467,志聖,出清,2224,560.0,638288
2026-06-26,2465,麗臺,出清,3912,71.8,-42250
2026-06-26,3465,進泰電子,進場YoY190%,22304,35.55,
2026-06-26,2337,旺宏,進場YoY176%,4879,162.5,
2026-07-01,2337,旺宏,出清,4879,143.5,-92701
2026-07-01,4934,太極,進場YoY281%,44456,17.7,
2026-07-02,8299,群聯,出清,428,2240.0,145520
2026-07-02,6465,威潤,進場YoY170%,12587,62.4,
2026-07-07,4934,太極,出清,44456,16.85,-37788
2026-07-07,2101,南港,進場YoY159%,21836,34.1,
2026-07-09,3691,碩禾,出清,3169,142.0,-39612
2026-07-09,3006,晶豪科,進場YoY297%,2645,237.0,
2026-07-14,8996,高力,出清,453,1175.0,120951
2026-07-14,5410,國眾,出清,18345,37.75,-44028
2026-07-14,3465,進泰電子,出清,22304,31.8,-83640
2026-07-14,6179,亞通,進場YoY229%,24860,27.8,
2026-07-14,5314,世紀*,進場YoY168%,10133,68.2,
2026-07-14,2305,全友,進場YoY142%,14675,36.95,
2026-07-16,2406,國碩,出清,20545,33.95,-39035
2026-07-16,5314,世紀*,出清,10133,64.2,-40532
2026-07-16,7828,創新服務,進場YoY256%,314,2160.0,
2026-07-16,3167,大量,進場YoY140%,775,851.0,
2026-07-17,6465,威潤,出清,12587,53.5,-112024
2026-07-17,3006,晶豪科,出清,2645,198.0,-103155
2026-07-17,6179,亞通,出清,24860,24.8,-74580
2026-07-17,3167,大量,出清,775,766.0,-65875
2026-07-20,2344,華邦電,出清,4967,151.0,-14901
2026-07-21,3702,大聯大,進場YoY132%,5547,111.5,
2026-07-21,4534,慶騰,進場YoY112%,16946,36.5,
2026-07-21,3706,神達,進場YoY81%,6774,91.3,
2026-07-21,4916,事欣科,進場YoY81%,5780,107.0,
2026-07-21,6574,霈方,進場YoY74%,4832,128.0,
2026-07-27,7828,創新服務,出清,314,1585.0,-180550
2026-07-28,3702,大聯大,出清,5547,110.0,-8320
2026-07-28,4916,事欣科,出清,5780,97.1,-57222
2026-07-29,2101,南港,出清,21836,32.25,-40397
2026-07-29,2305,全友,出清,14675,27.45,-139413
2026-07-29,4534,慶騰,出清,16946,29.8,-113538
2026-07-29,3706,神達,出清,6774,85.3,-40644
2026-07-30,6574,霈方,出清,4832,114.0,-67648
2026-08-05,8271,宇瞻,進場YoY201%,2450,227.0,
2026-08-05,3229,晟鈦,進場YoY99%,12569,44.25,
2026-08-05,3022,威強電,進場YoY80%,5698,97.6,
2026-08-05,6214,精誠,進場YoY77%,3635,153.0,
2026-08-05,2395,研華,進場YoY73%,878,633.0,
2026-08-05,5388,中磊,進場YoY71%,6071,91.6,
2026-08-05,6414,樺漢,進場YoY57%,1185,469.0,
2026-08-05,2317,鴻海,進場YoY52%,2091,258.5,
2026-08-12,5388,中磊,出清,6071,82.4,-55853
2026-08-12,2344,華邦電,進場YoY292%,2815,177.0,
2026-08-17,2317,鴻海,出清,2091,255.0,-7318
2026-08-17,6179,亞通,進場YoY298%,19082,27.75,
2026-08-18,6414,樺漢,出清,1185,389.5,-94208
2026-08-18,2465,麗臺,進場YoY281%,5338,86.2,
2026-08-19,2344,華邦電,出清,2815,168.0,-25335
2026-08-20,7750,新代,進場YoY203%,191,2460.0,
2026-08-24,7750,新代,出清,191,2140.0,-61120
2026-08-25,3135,凌航,進場YoY204%,2264,180.0,
2026-09-01,3135,凌航,出清,2264,173.0,-15848
2026-09-01,4931,新盛力,進場YoY160%,1496,260.5,
2026-09-03,3022,威強電,出清,5698,87.2,-59259
