日期,代號,名稱,動作,股數,價格,實現損益
2025-09-01,,,月權益,,5000000,
2025-09-30,,,月權益,,5000000,
2025-10-01,,,月權益,,5000000,
2025-10-31,,,月權益,,5000000,
2025-11-28,,,月權益,,5000000,
2025-12-01,,,月權益,,5000000,
2025-12-31,,,月權益,,5000000,
2026-01-05,2408,南亞科,"報價位進場(記憶體,第1次)",4807,208.0,
2026-01-30,,,月權益,,5568204.7052,
2026-02-11,3017,奇鋐,進場YoY150% 散熱/無,498,1605.0,
2026-02-11,8210,勤誠,進場YoY137% 機殼導軌/主軸,820,975.0,
2026-02-11,2467,志聖,進場YoY124% PCB設備/無,2929,273.0,
2026-02-11,2382,廣達,進場YoY62% 伺服器ODM/無,2796,286.0,
2026-02-11,8046,南電,進場YoY45% PCB_CCL/無,1875,416.0,
2026-02-23,8210,勤誠,出清,820,890.0,-69700
2026-02-23,2485,兆赫,進場YoY163% 網通交換器/無,17988,40.4,
2026-02-26,,,月權益,,5870503.831265,
2026-03-04,2382,廣達,出清,2796,281.0,-13980
2026-03-04,3167,大量,進場YoY120% PCB設備/無,2932,266.0,
2026-03-09,2408,南亞科,報價位出清(獲利後破60MA),4807,210.0,9614
2026-03-18,2327,國巨,"報價位進場(被動元件,第1次)",3563,280.5,
2026-03-31,,,月權益,,6555033.0599775,
2026-04-01,,,月權益,,6862953.7599775,
2026-04-24,2485,兆赫,停利出清,17988,60.5,361559
2026-04-24,8996,高力,進場YoY205% 散熱/無,960,1125.0,
2026-04-30,,,月權益,,9954949.147527501,
2026-05-29,,,月權益,,10758115.147527501,
2026-06-01,,,月權益,,11093160.147527501,
2026-06-10,3017,奇鋐,出清,498,2360.0,375990
2026-06-10,2344,華邦電,進場YoY182% 記憶體/主軸,7834,149.0,
2026-06-26,2467,志聖,出清,2929,560.0,840623
2026-06-26,2337,旺宏,進場YoY176% 記憶體/主軸,9982,162.5,
2026-06-30,,,月權益,,13449000.6606025,
2026-07-01,2337,旺宏,出清,9982,143.5,-189658
2026-07-01,2059,川湖,進場YoY172% 機殼導軌/無,186,7655.0,
2026-07-01,,,月權益,,13169804.2576275,
2026-07-09,3167,大量,出清,2932,775.0,1492388
2026-07-09,3006,晶豪科,進場YoY297% 記憶體/主軸,7315,237.0,
2026-07-13,2327,國巨,報價位出清(T4),3563,816.0,1907986
2026-07-14,2408,南亞科,"報價位進場(記憶體,第2次)",5073,448.0,
2026-07-14,8996,高力,出清,960,1175.0,48000
2026-07-14,2382,廣達,進場YoY103% 伺服器ODM/候選,4781,380.0,
2026-07-17,3006,晶豪科,出清,7315,198.0,-285285
2026-07-17,2382,廣達,出清,4781,325.5,-260564
2026-07-20,2344,華邦電,出清,7834,151.0,15668
2026-07-21,3706,神達,進場YoY81% 伺服器ODM/候選,18319,91.3,
2026-07-21,5388,中磊,進場YoY71% 網通交換器/候選,19654,85.1,
2026-07-28,8046,南電,停利出清,1875,976.0,1050000
2026-07-29,2408,南亞科,報價位出清(硬停損-15%),5073,353.5,-479398
2026-07-29,3706,神達,出清,18319,85.3,-109914
2026-07-29,5388,中磊,出清,19654,81.9,-62893
2026-07-31,,,月權益,,9524135.927532502,
2026-08-05,2606,裕民,"報價位進場(航運,第1次)",30466,64.5,
2026-08-05,8271,宇瞻,進場YoY201% 記憶體/主軸,6922,227.0,
2026-08-05,2317,鴻海,進場YoY52% 伺服器ODM/候選,6079,258.5,
2026-08-10,3231,緯創,進場YoY54% 伺服器ODM/候選,8706,193.0,
2026-08-11,2344,華邦電,進場YoY292% 記憶體/主軸,6971,178.0,
2026-08-17,2317,鴻海,出清,6079,255.0,-21276
2026-08-17,2465,麗臺,進場YoY281% 伺服器ODM/候選,16950,90.6,
2026-08-19,2344,華邦電,出清,6971,168.0,-69710
2026-08-20,2383,台光電,進場YoY129% PCB_CCL/主軸,195,5985.0,
2026-08-31,,,月權益,,10769601.845269999,
2026-09-01,,,月權益,,10815685.245269999,
2026-09-03,2383,台光電,出清,195,5290.0,-135525
2026-09-03,3443,創意,進場YoY158% IC設計_ASIC/無,177,5800.0,
2026-09-04,,,月權益,,10921356.93152,
