資料年月,子產業,樣本數,擴散度%,擴散度變化,相對強度60日%,後續20日平均報酬%,排名
11501,機殼導軌,5,80,,-18.4,+13.8,1
11501,記憶體,14,79,,+16.8,+16.8,2
11501,先進封裝設備,13,62,,+9.6,+33.7,3
11501,散熱,9,56,,-13.8,+7.6,4
11501,伺服器ODM,11,55,,-27.3,-0.6,5
11501,探針卡測試介面,4,50,,+88.5,+30.8,6
11501,PCB設備,4,50,,+4.5,+28.7,7
11501,機器人自動化,4,50,,-2.6,-6.9,8
11501,PCB_CCL,13,46,,+29.6,+17.7,9
11501,PCB耗材材料,5,40,,+41.5,+4.0,10
11501,電源,5,40,,+4.0,-3.1,11
11501,封裝測試,7,29,,+16.8,-2.8,12
11501,半導體設備材料,11,27,,-2.4,+5.0,13
11501,IC設計_ASIC,11,27,,-14.3,+4.8,14
11501,光通訊_CPO,9,22,,+46.8,+25.6,15
11501,網通交換器,10,20,,+1.7,+14.9,16
11501,功率半導體,10,10,,-18.8,+5.4,17
11501,晶圓代工,4,0,,+26.4,-4.0,18
11501,檢測分析,2,0,,+2.6,+63.5,19
11501,連接器線材,6,0,,-5.9,+10.7,20
11501,重電電網,7,0,,-7.6,-9.8,21
11501,航運,5,0,,-14.9,+6.0,22
11501,被動元件,5,0,,-21.6,+2.4,23
11501,導線架封裝材料,3,0,,-24.9,+0.9,24
11502,機殼導軌,5,80,+0,-12.7,+29.1,1
11502,記憶體,14,71,-7,+42.6,+6.5,2
11502,先進封裝設備,13,62,+0,+27.3,+38.7,3
11502,PCB耗材材料,5,60,+20,+50.1,+22.0,4
11502,探針卡測試介面,4,50,+0,+82.0,+31.3,5
11502,機器人自動化,4,50,+0,-6.1,+5.2,6
11502,伺服器ODM,11,45,-9,-28.0,+1.9,7
11502,散熱,9,44,-11,-7.1,+5.6,8
11502,封裝測試,7,29,+0,+16.1,+15.6,9
11502,半導體設備材料,11,27,+0,+3.9,+7.7,10
11502,PCB設備,4,25,-25,+27.9,+61.4,11
11502,PCB_CCL,13,23,-23,+38.3,+31.5,12
11502,網通交換器,10,20,+0,+4.5,+16.9,13
11502,電源,5,20,-20,-9.2,+14.1,14
11502,IC設計_ASIC,11,18,-9,-13.3,+3.4,15
11502,光通訊_CPO,9,11,-11,+53.6,+35.2,16
11502,功率半導體,10,10,+0,-12.7,+5.6,17
11502,檢測分析,2,0,+0,+41.5,+65.1,18
11502,晶圓代工,4,0,+0,+26.3,-0.1,19
11502,連接器線材,6,0,+0,-2.1,+11.7,20
11502,重電電網,7,0,+0,-10.3,-8.1,21
11502,航運,5,0,+0,-14.7,-1.0,22
11502,被動元件,5,0,+0,-16.2,+14.7,23
11502,導線架封裝材料,3,0,+0,-25.4,+22.4,24
11503,PCB耗材材料,5,80,+20,+61.1,+25.8,1
11503,機殼導軌,5,80,+0,+38.0,+35.0,2
11503,記憶體,14,71,+0,+16.8,+34.1,3
11503,探針卡測試介面,4,50,+0,+154.7,+19.4,4
11503,機器人自動化,4,50,+0,+6.9,+45.9,5
11503,先進封裝設備,13,46,-15,+71.0,+17.1,6
11503,散熱,9,44,+0,+4.6,+5.2,7
11503,半導體設備材料,11,36,+9,-3.1,+20.9,8
11503,伺服器ODM,11,36,-9,-20.9,+16.4,9
11503,封裝測試,7,29,+0,+25.2,+30.8,10
11503,IC設計_ASIC,11,27,+9,+0.3,+53.2,11
11503,PCB設備,4,25,+0,+82.9,+21.3,12
11503,PCB_CCL,13,23,+0,+77.0,+29.8,13
11503,光通訊_CPO,9,22,+11,+96.2,+18.8,14
11503,網通交換器,10,20,+0,+35.7,+1.8,15
11503,電源,5,20,+0,+11.3,+27.0,16
11503,航運,5,20,+20,-7.5,-0.4,17
11503,功率半導體,10,10,+0,+2.7,+33.2,18
11503,檢測分析,2,0,+0,+178.6,+11.4,19
11503,連接器線材,6,0,+0,+10.7,+19.8,20
11503,被動元件,5,0,+0,+10.5,+32.5,21
11503,導線架封裝材料,3,0,+0,+8.9,+29.9,22
