日期,代號,名稱,動作,股數,價格,實現損益
2025-09-01,,,月權益,,5000000,
2025-09-30,,,月權益,,5000000,
2025-10-01,,,月權益,,5000000,
2025-10-31,,,月權益,,5000000,
2025-11-28,,,月權益,,5000000,
2025-12-01,,,月權益,,5000000,
2025-12-31,,,月權益,,5000000,
2026-01-05,2408,南亞科,"報價位進場(記憶體,第1次)",4014,208.0,
2026-01-30,,,月權益,,5474469.2504,
2026-02-11,3017,奇鋐,進場YoY150% 散熱/無,433,1605.0,
2026-02-11,8210,勤誠,進場YoY137% 機殼導軌/主軸,713,975.0,
2026-02-11,2467,志聖,進場YoY124% PCB設備/無,2547,273.0,
2026-02-11,2382,廣達,進場YoY62% 伺服器ODM/無,2431,286.0,
2026-02-11,8046,南電,進場YoY45% PCB_CCL/無,1671,416.0,
2026-02-23,8210,勤誠,出清,713,890.0,-60605
2026-02-23,2485,兆赫,進場YoY163% 網通交換器/無,17117,40.4,
2026-02-26,,,月權益,,5756457.433435,
2026-03-04,2382,廣達,出清,2431,281.0,-12155
2026-03-04,3167,大量,進場YoY120% PCB設備/無,2884,266.0,
2026-03-09,2408,南亞科,報價位出清(獲利後破60MA),4014,210.0,8028
2026-03-18,2327,國巨,"報價位進場(被動元件,第1次)",3881,280.5,
2026-03-31,,,月權益,,6418968.8933475,
2026-04-01,,,月權益,,6710101.6933475,
2026-04-24,2485,兆赫,停利出清,17117,60.5,344052
2026-04-24,8996,高力,進場YoY205% 散熱/無,1105,1125.0,
2026-04-30,,,月權益,,9621994.805359999,
2026-05-11,8996,高力,換倉賣出,1105,1055.0,-77350
2026-05-11,2382,廣達,進場YoY121% 伺服器ODM/候選,3508,343.5,
2026-05-18,2382,廣達,出清,3508,300.0,-152598
2026-05-18,3443,創意,進場YoY157% IC設計_ASIC/無,221,4740.0,
2026-05-29,,,月權益,,10358496.514334999,
2026-06-01,3443,創意,換倉賣出,221,4655.0,-18785
2026-06-01,2465,麗臺,進場YoY176% 伺服器ODM/候選,11584,88.5,
2026-06-01,,,月權益,,10718077.38626,
2026-06-10,3017,奇鋐,出清,433,2360.0,326915
2026-06-10,3231,緯創,進場YoY112% 伺服器ODM/候選,6431,158.0,
2026-06-15,2465,麗臺,換倉賣出,11584,83.0,-63712
2026-06-15,4739,康普,進場YoY141% PCB_CCL/無,7812,122.5,
2026-06-25,3231,緯創,換倉賣出,6431,160.0,12862
2026-06-25,2383,台光電,進場YoY115% PCB_CCL/無,181,5640.0,
2026-06-26,2467,志聖,出清,2547,560.0,730989
2026-06-26,2059,川湖,進場YoY172% 機殼導軌/無,174,6990.0,
2026-06-30,4739,康普,換倉賣出,7812,114.5,-62496
2026-06-30,6139,亞翔,進場YoY103% 半導體設備材料/無,1181,923.0,
2026-06-30,,,月權益,,12200299.563035,
2026-07-01,,,月權益,,12248173.563035,
2026-07-09,3167,大量,出清,2884,775.0,1467956
2026-07-13,2327,國巨,報價位出清(T4),3881,816.0,2078276
2026-07-13,2467,志聖,進場YoY94% PCB設備/無,3058,595.0,
2026-07-13,2383,台光電,換倉賣出,181,5125.0,-93215
2026-07-13,3706,神達,進場YoY81% 伺服器ODM/候選,20043,90.8,
2026-07-14,2408,南亞科,"報價位進場(記憶體,第2次)",3968,448.0,
2026-07-14,2467,志聖,出清,3058,536.0,-180422
2026-07-14,2382,廣達,進場YoY103% 伺服器ODM/候選,3893,380.0,
2026-07-15,6139,亞翔,換倉賣出,1181,895.0,-33068
2026-07-15,5388,中磊,進場YoY71% 網通交換器/候選,17286,89.4,
2026-07-17,2382,廣達,出清,3893,325.5,-212168
2026-07-20,5388,中磊,出清,17286,82.8,-114088
2026-07-28,8046,南電,停利出清,1671,976.0,935760
2026-07-29,2408,南亞科,報價位出清(硬停損-15%),3968,353.5,-374976
2026-07-29,3706,神達,出清,20043,85.3,-110236
2026-07-31,,,月權益,,9327827.135559998,
2026-08-05,2606,裕民,"報價位進場(航運,第1次)",24880,64.5,
2026-08-10,3231,緯創,進場YoY54% 伺服器ODM/候選,7291,193.0,
2026-08-10,2317,鴻海,進場YoY52% 伺服器ODM/候選,5320,264.5,
2026-08-11,2465,麗臺,進場YoY281% 伺服器ODM/候選,16279,86.9,
2026-08-11,2383,台光電,進場YoY129% PCB_CCL/主軸,255,5535.0,
2026-08-17,2317,鴻海,出清,5320,255.0,-50540
2026-08-17,3003,健和興,進場YoY93% 連接器線材/無,22469,66.2,
2026-08-25,3231,緯創,換倉賣出,7291,178.5,-105720
2026-08-25,8996,高力,進場YoY58% 散熱/無,1196,1215.0,
2026-08-26,8996,高力,出清,1196,1195.0,-23920
2026-08-26,6531,愛普*,進場YoY145% IC設計_ASIC/無,1612,916.0,
2026-08-27,2383,台光電,換倉賣出,255,5500.0,-8925
2026-08-27,2467,志聖,進場YoY133% PCB設備/無,2520,585.0,
2026-08-28,6531,愛普*,出清,1612,895.0,-33852
2026-08-28,3167,大量,進場YoY153% PCB設備/無,1898,783.0,
2026-08-31,3003,健和興,換倉賣出,22469,69.0,62913
2026-08-31,3443,創意,進場YoY158% IC設計_ASIC/無,241,6100.0,
2026-08-31,,,月權益,,10704361.895815,
2026-09-01,,,月權益,,10714879.095815,
2026-09-03,3167,大量,出清,1898,730.0,-100594
2026-09-03,6213,聯茂,進場YoY97% PCB_CCL/主軸,2764,512.0,
2026-09-04,,,月權益,,10574691.066914998,
