版本,說明,2026報酬%,最大回撤%,交易數,進場數,出清勝率%,期末持股,期末
L11,十一行基準,+135.61,-23.89,60,19,33,5,"11,780,468"
SW1,換倉：持有≥20日且獲利<10%者讓位,+119.50,-24.98,68,23,23,5,"10,974,966"
SW2,換倉：持有≥20日且虧損者讓位,+126.97,-24.50,66,22,31,5,"11,348,309"
SW3,換倉：持有≥10日且獲利<5%者讓位,+111.49,-24.85,84,31,21,5,"10,574,691"
SW4,換倉：持有≥30日且獲利<10%者讓位,+130.33,-23.38,64,21,23,5,"11,516,623"
SW5,SW1 但只為候選期子產業的新標的換,+114.41,-25.26,66,22,25,5,"10,720,410"
RK1,排序：製造端優先,+135.61,-23.89,60,19,33,5,"11,780,468"
RK2,排序：乖離5–15%優先,+135.61,-23.89,60,19,33,5,"11,780,468"
RK3,排序：製造端＋乖離,+135.61,-23.89,60,19,33,5,"11,780,468"
RK4,RK3＋SW1,+119.50,-24.98,68,23,23,5,"10,974,966"
0050,買進持有,+61.17,-15.88,,,,,
