日期,代號,名稱,動作,股數,價格,實現損益
2026-02-11,3535,晶彩科,進場(YoY 9477%),3864,103.5,
2026-02-11,2408,南亞科,進場(YoY 608%),1438,278.0,
2026-02-11,2855,統一證,進場(YoY 373%),13556,29.5,
2026-02-11,1529,樂事綠能,進場(YoY 277%),16026,24.95,
2026-02-11,2887,台新新光金,進場(YoY 219%),16659,24.0,
2026-02-11,2363,矽統,進場(YoY 172%),7268,55.0,
2026-02-11,3528,安馳,進場(YoY 152%),5544,72.1,
2026-02-11,3017,奇鋐,進場(YoY 150%),249,1605.0,
2026-03-04,2363,矽統,出清(破60MA/前低),7268,48.4,-47969
2026-03-04,3528,安馳,出清(破60MA/前低),5544,66.3,-32155
2026-03-05,2408,南亞科,拋物線出清(破10MA),1438,257.5,-29479
2026-03-11,1762,中化生,進場(YoY 161%),13608,30.0,
2026-03-11,2406,國碩,進場(YoY 160%),11953,34.15,
2026-03-11,4934,太極,進場(YoY 130%),20984,19.45,
2026-03-13,3535,晶彩科,拋物線出清(破10MA),3864,126.0,86940
2026-03-20,2887,台新新光金,減1/3(破20MA),5553,24.65,3609
2026-03-24,1529,樂事綠能,減1/3(破20MA),5342,25.2,1336
2026-03-24,4934,太極,減1/3(破20MA),6994,17.7,-12240
2026-03-30,1529,樂事綠能,出清(破60MA/前低),10684,23.55,-14958
2026-03-31,4934,太極,出清(破60MA/前低),13990,16.3,-44068
2026-04-01,1762,中化生,減1/3(破20MA),4536,28.7,-5897
2026-04-01,2406,國碩,減1/3(破20MA),3984,32.5,-6574
2026-04-02,2406,國碩,出清(破60MA/前低),7969,30.8,-26696
2026-04-08,2887,台新新光金,噪音回補(站回20MA),5553,24.7,
2026-04-13,2855,統一證,減1/3(破20MA),4518,31.0,6777
2026-04-13,3054,立萬利,進場(YoY 1091%),5541,72.2,
2026-04-13,2485,兆赫,進場(YoY 200%),4951,80.8,
2026-04-13,3028,增你強,進場(YoY 125%),6689,59.8,
2026-04-13,3231,緯創,進場(YoY 118%),2973,134.5,
2026-04-14,1762,中化生,噪音回補(站回20MA),4536,29.5,
2026-04-15,2855,統一證,噪音回補(站回20MA),4518,32.85,
2026-04-22,2887,台新新光金,減1/3(破20MA),5553,23.95,-1573
2026-04-22,1762,中化生,減1/3(破20MA),4536,28.15,-7636
2026-04-22,2485,兆赫,拋物線出清(破10MA),4951,71.0,-48520
2026-04-23,2887,台新新光金,出清(破60MA/前低),11106,23.7,-5923
2026-04-24,3054,立萬利,拋物線出清(破10MA),5541,71.0,-6649
2026-04-27,1762,中化生,出清(破60MA/前低),9072,27.55,-20714
2026-05-07,3017,奇鋐,拋物線出清(破10MA),249,2415.0,201690
2026-05-11,2891,中信金,進場(YoY 1121%),7598,55.3,
2026-05-11,2885,元大金,進場(YoY 325%),7436,56.5,
2026-05-11,6005,群益證,進場(YoY 302%),13027,32.25,
2026-05-11,2881,富邦金,進場(YoY 220%),4398,95.5,
2026-05-11,2882,國泰金,進場(YoY 154%),5357,78.4,
2026-05-15,3231,緯創,減1/3(破20MA),991,135.5,991
2026-05-19,3231,緯創,出清(破60MA/前低),1982,132.5,-3964
2026-05-20,2855,統一證,拋物線出清(破10MA),13556,39.2,116358
2026-05-29,3028,增你強,拋物線出清(破10MA),6689,81.5,145151
2026-06-11,2851,中再保,進場(YoY 1113%),12435,36.45,
2026-06-11,2408,南亞科,進場(YoY 730%),1332,340.0,
2026-06-11,2025,千興,進場(YoY 562%),32601,13.9,
2026-06-12,6005,群益證,拋物線出清(破10MA),13027,39.0,87932
2026-06-29,2025,千興,減1/3(破20MA),10867,13.05,-9237
2026-06-30,2882,國泰金,拋物線出清(破10MA),5357,98.3,106604
2026-06-30,2851,中再保,減1/3(破20MA),4145,36.15,-1244
2026-07-01,2881,富邦金,拋物線出清(破10MA),4398,122.5,118746
2026-07-02,2408,南亞科,拋物線出清(破10MA),1332,407.0,89244
2026-07-03,2851,中再保,噪音回補(站回20MA),4145,38.45,
2026-07-08,2025,千興,出清(破60MA/前低),21734,12.05,-40208
2026-07-13,2465,麗臺,進場(YoY 544%),5334,85.9,
2026-07-13,2425,承啟,進場(YoY 376%),10402,44.05,
2026-07-13,2887,台新新光金,進場(YoY 330%),12815,35.75,
2026-07-13,3006,晶豪科,進場(YoY 328%),2009,228.0,
2026-07-13,2101,南港,進場(YoY 328%),13257,34.55,
2026-07-14,2891,中信金,減1/3(破20MA),2532,65.0,24560
2026-07-14,2851,中再保,減1/3(破20MA),4145,37.65,2211
2026-07-15,2851,中再保,噪音回補(站回20MA),4145,38.5,
2026-07-16,2885,元大金,減1/3(破20MA),2478,66.7,25276
2026-07-17,2891,中信金,出清(破60MA/前低),5066,62.1,34449
2026-07-17,2465,麗臺,出清(破60MA/前低),5334,76.4,-50673
2026-07-17,3006,晶豪科,出清(破60MA/前低),2009,198.0,-60270
2026-07-20,2851,中再保,減1/3(破20MA),4145,35.95,-6747
2026-07-21,2425,承啟,減1/3(破20MA),3467,41.5,-8841
2026-07-22,2425,承啟,噪音回補(站回20MA),3467,45.15,
2026-07-22,2887,台新新光金,拋物線出清(破10MA),12815,34.6,-14737
2026-07-23,2851,中再保,出清(破60MA/前低),8290,35.5,-17225
2026-07-28,2101,南港,減1/3(破20MA),4419,32.7,-8175
2026-07-29,2885,元大金,出清(破60MA/前低),4958,62.2,28261
2026-07-29,2101,南港,出清(破60MA/前低),8838,32.25,-20327
2026-08-11,2344,華邦電,進場(YoY 292%),2457,178.0,
2026-08-11,2465,麗臺,進場(YoY 281%),5034,86.9,
2026-08-11,2025,千興,進場(YoY 201%),34442,12.7,
2026-08-11,8271,宇瞻,進場(YoY 165%),1865,234.5,
2026-08-11,2347,聯強,進場(YoY 127%),4805,91.0,
2026-08-11,3702,大聯大,進場(YoY 91%),3484,125.5,
2026-08-11,2395,研華,進場(YoY 88%),661,661.0,
2026-08-12,2025,千興,出清(破60MA/前低),34442,12.65,-1722
2026-08-13,2425,承啟,拋物線出清(破10MA),10402,41.95,-25658
2026-08-17,2347,聯強,出清(破60MA/前低),4805,88.8,-10571
2026-08-17,3702,大聯大,出清(破60MA/前低),3484,111.0,-50518
2026-08-19,2344,華邦電,出清(破60MA/前低),2457,168.0,-24570
2026-08-20,2465,麗臺,拋物線出清(破10MA),5034,86.0,-4531
2026-08-24,2395,研華,拋物線出清(破10MA),661,658.0,-1983
2026-09-02,8271,宇瞻,減1/3(破20MA),621,225.5,-5589
2026-09-03,8271,宇瞻,出清(破60MA/前低),1244,217.0,-21770
