日期,代號,名稱,動作,股數,價格,實現損益
2025-09-01,,,月權益,,5000000,
2025-09-30,,,月權益,,5000000,
2025-10-01,,,月權益,,5000000,
2025-10-31,,,月權益,,5000000,
2025-11-28,,,月權益,,5000000,
2025-12-01,,,月權益,,5000000,
2025-12-31,,,月權益,,5000000,
2026-01-30,,,月權益,,5000000,
2026-02-11,3017,奇鋐,進場YoY150% 散熱/無,623,1605.0,
2026-02-11,8210,勤誠,進場YoY137% 機殼導軌/主軸,1025,975.0,
2026-02-11,2467,志聖,進場YoY124% PCB設備/無,3663,273.0,
2026-02-11,2382,廣達,進場YoY62% 伺服器ODM/無,3496,286.0,
2026-02-11,8046,南電,進場YoY45% PCB_CCL/無,2344,416.0,
2026-02-23,8210,勤誠,出清,1025,890.0,-87125
2026-02-23,2485,兆赫,進場YoY163% 網通交換器/無,22483,40.4,
2026-02-26,,,月權益,,5624425.442615,
2026-03-04,2382,廣達,出清,3496,281.0,-17480
2026-03-04,3167,大量,進場YoY120% PCB設備/無,3666,266.0,
2026-03-31,,,月權益,,7106172.631515,
2026-04-01,,,月權益,,7455537.831515,
2026-04-23,2485,兆赫,停利出清,22483,63.9,528350
2026-04-23,3231,緯創,進場YoY118% 伺服器ODM/無,10179,139.5,
2026-04-27,2467,志聖,停利出清,3663,495.5,815018
2026-04-27,8996,高力,進場YoY205% 散熱/無,1679,1070.0,
2026-04-30,,,月權益,,10806583.3334175,
2026-05-06,3017,奇鋐,停利出清,623,2435.0,517090
2026-05-06,4739,康普,進場YoY104% PCB_CCL/無,16659,90.9,
2026-05-08,8046,南電,停利出清,2344,854.0,1026672
2026-05-08,3167,大量,停利出清,3666,684.0,1532388
2026-05-08,2404,漢唐,進場YoY101% 半導體設備材料/無,1805,1015.0,
2026-05-08,2337,旺宏,進場YoY96% 記憶體/主軸,11975,153.0,
2026-05-19,3231,緯創,出清,10179,132.5,-71253
2026-05-19,2344,華邦電,進場YoY182% 記憶體/主軸,15490,117.5,
2026-05-29,,,月權益,,10524080.6253125,
2026-06-01,,,月權益,,10668159.6253125,
2026-06-08,2337,旺宏,出清,11975,143.5,-113762
2026-06-08,2344,華邦電,停利出清,15490,154.0,565385
2026-06-08,2382,廣達,進場YoY121% 伺服器ODM/候選,5558,376.5,
2026-06-08,3167,大量,進場YoY114% PCB設備/候選,2419,865.0,
2026-06-30,,,月權益,,11238140.83315,
2026-07-01,,,月權益,,11182690.83315,
2026-07-09,4739,康普,出清,16659,99.0,134938
2026-07-09,3167,大量,出清,2419,775.0,-217710
2026-07-09,3006,晶豪科,進場YoY297% 記憶體/主軸,8528,237.0,
2026-07-09,2059,川湖,進場YoY172% 機殼導軌/無,207,8250.0,
2026-07-14,8996,高力,出清,1679,1175.0,176295
2026-07-14,3706,神達,進場YoY81% 伺服器ODM/候選,21767,89.7,
2026-07-17,2382,廣達,出清,5558,325.5,-283458
2026-07-17,3006,晶豪科,出清,8528,198.0,-332592
2026-07-20,2404,漢唐,出清,1805,1135.0,216600
2026-07-21,5388,中磊,進場YoY71% 網通交換器/候選,21636,85.1,
2026-07-21,8046,南電,進場YoY50% PCB_CCL/候選,1547,1190.0,
2026-07-28,8046,南電,出清,1547,976.0,-331058
2026-07-29,3706,神達,出清,21767,85.3,-95775
2026-07-29,5388,中磊,出清,21636,81.9,-69235
2026-07-31,,,月權益,,8621681.158449998,
2026-08-05,8271,宇瞻,進場YoY201% 記憶體/主軸,7891,227.0,
2026-08-05,2317,鴻海,進場YoY52% 伺服器ODM/候選,6929,258.5,
2026-08-10,3231,緯創,進場YoY54% 伺服器ODM/候選,9911,193.0,
2026-08-11,2344,華邦電,進場YoY292% 記憶體/主軸,8223,178.0,
2026-08-17,2317,鴻海,出清,6929,255.0,-24252
2026-08-17,2465,麗臺,進場YoY281% 伺服器ODM/候選,19329,90.6,
2026-08-19,2344,華邦電,出清,8223,168.0,-82230
2026-08-20,2383,台光電,進場YoY129% PCB_CCL/主軸,230,5985.0,
2026-08-31,,,月權益,,9603203.753867498,
2026-09-01,,,月權益,,9695243.453867497,
2026-09-03,2383,台光電,出清,230,5290.0,-159850
2026-09-03,3443,創意,進場YoY158% IC設計_ASIC/無,209,5800.0,
2026-09-04,,,月權益,,9702967.771367498,
