日期,代號,名稱,動作,股數,價格,實現損益
2025-09-01,,,月權益,,5000000,
2025-09-30,,,月權益,,5000000,
2025-10-01,,,月權益,,5000000,
2025-10-31,,,月權益,,5000000,
2025-11-28,,,月權益,,5000000,
2025-12-01,,,月權益,,5000000,
2025-12-31,,,月權益,,5000000,
2026-01-05,2408,南亞科,"報價位進場(記憶體,第1次)",4014,208.0,
2026-01-30,,,月權益,,5474469.2504,
2026-02-11,3017,奇鋐,進場YoY150% 散熱/無,433,1605.0,
2026-02-11,8210,勤誠,進場YoY137% 機殼導軌/主軸,713,975.0,
2026-02-11,2467,志聖,進場YoY124% PCB設備/無,2547,273.0,
2026-02-11,2382,廣達,進場YoY62% 伺服器ODM/無,2431,286.0,
2026-02-11,6213,聯茂,進場YoY42% PCB_CCL/無,5746,121.0,
2026-02-23,8210,勤誠,出清,713,890.0,-60605
2026-02-23,2368,金像電,進場YoY69% PCB_CCL/無,831,818.0,
2026-02-26,,,月權益,,5569907.818725,
2026-03-04,2382,廣達,出清,2431,281.0,-12155
2026-03-04,2345,智邦,進場YoY72% 網通交換器/無,548,1305.0,
2026-03-09,2408,南亞科,報價位出清(獲利後破60MA),4014,210.0,8028
2026-03-09,6213,聯茂,出清,5746,115.0,-34476
2026-03-09,2404,漢唐,進場YoY59% 半導體設備材料/無,796,1070.0,
2026-03-16,2404,漢唐,出清,796,964.0,-84376
2026-03-16,2465,麗臺,進場YoY127% 伺服器ODM/無,15414,57.2,
2026-03-18,2327,國巨,"報價位進場(被動元件,第1次)",3314,280.5,
2026-03-23,2465,麗臺,出清,15414,56.6,-9248
2026-03-23,4739,康普,進場YoY192% PCB_CCL/無,8753,85.6,
2026-03-31,,,月權益,,5231067.327925,
2026-04-01,,,月權益,,5451901.627924999,
2026-04-30,,,月權益,,7286406.227925001,
2026-05-29,,,月權益,,8860559.827925,
2026-06-01,,,月權益,,9187441.827925,
2026-06-10,3017,奇鋐,出清,433,2360.0,326915
2026-06-10,2382,廣達,進場YoY121% 伺服器ODM/候選,2753,380.5,
2026-06-23,2368,金像電,出清,831,1265.0,371457
2026-06-23,3006,晶豪科,進場YoY297% 記憶體/主軸,4246,245.0,
2026-06-26,2467,志聖,出清,2547,560.0,730989
2026-06-26,2383,台光電,進場YoY115% PCB_CCL/無,187,5255.0,
2026-06-30,,,月權益,,9847557.4946625,
2026-07-01,,,月權益,,9894647.4946625,
2026-07-09,4739,康普,出清,8753,99.0,117290
2026-07-09,2059,川湖,進場YoY172% 機殼導軌/無,120,8250.0,
2026-07-13,2327,國巨,報價位出清(T4),3314,816.0,1774647
2026-07-13,2345,智邦,出清,548,2405.0,602800
2026-07-13,3706,神達,進場YoY81% 伺服器ODM/候選,15691,90.8,
2026-07-14,2408,南亞科,"報價位進場(記憶體,第2次)",3144,448.0,
2026-07-16,2383,台光電,出清,187,4990.0,-49555
2026-07-16,3167,大量,進場YoY140% PCB設備/無,1381,851.0,
2026-07-17,2382,廣達,出清,2753,325.5,-151415
2026-07-17,3006,晶豪科,出清,4246,198.0,-199562
2026-07-17,3167,大量,出清,1381,766.0,-117385
2026-07-21,5388,中磊,進場YoY71% 網通交換器/候選,13112,85.1,
2026-07-29,2408,南亞科,報價位出清(硬停損-15%),3144,353.5,-297108
2026-07-29,3706,神達,出清,15691,85.3,-86300
2026-07-29,5388,中磊,出清,13112,81.9,-41958
2026-07-31,,,月權益,,7624954.238907499,
2026-08-05,2606,裕民,"報價位進場(航運,第1次)",20245,64.5,
2026-08-05,8271,宇瞻,進場YoY201% 記憶體/主軸,4790,227.0,
2026-08-05,2317,鴻海,進場YoY52% 伺服器ODM/候選,4206,258.5,
2026-08-10,3231,緯創,進場YoY54% 伺服器ODM/候選,5941,193.0,
2026-08-11,2376,技嘉,進場YoY60% 伺服器ODM/候選,3283,350.5,
2026-08-17,2317,鴻海,出清,4206,255.0,-14721
2026-08-17,4967,十銓,進場YoY99% 記憶體/主軸,4432,263.5,
2026-08-18,4967,十銓,出清,4432,252.0,-50968
2026-08-18,3003,健和興,進場YoY93% 連接器線材/無,17013,67.9,
2026-08-20,2376,技嘉,出清,3283,344.0,-21340
2026-08-20,2605,新興,進場YoY36% 航運/候選,31289,36.4,
2026-08-31,,,月權益,,8403656.67608,
2026-09-01,,,月權益,,8358579.77608,
2026-09-04,,,月權益,,8432395.17608,
