版本,說明,2026報酬%,最大回撤%,交易數,進場數,出清勝率%,期末持股,期末
R9,九行基準,+115.44,-29.02,66,22,33,5,"10,772,103"
S1,同子產業最多1檔,+110.19,-24.68,68,23,25,5,"10,509,402"
S2,同子產業最多2檔,+115.44,-29.02,66,22,33,5,"10,772,103"
S3,擴散度≥60%連3月的成熟子產業不新進,+134.42,-24.39,60,19,33,5,"11,721,132"
S4,20日平均日振幅>4%不進,+68.65,-25.79,70,24,26,5,"8,432,395"
S5,20日平均日振幅>4%部位減半,+82.20,-28.33,68,23,31,5,"9,110,122"
S6,20日平均日振幅>3%部位減半,+88.07,-26.24,70,24,29,5,"9,403,513"
S7,S1＋S3,+104.88,-24.97,70,24,24,5,"10,244,042"
S8,S1＋S5,+81.40,-24.34,70,24,24,5,"9,070,060"
0050,買進持有,+61.17,-15.88,,,,,
