代號,名稱,市場,當月YoY%,上月YoY%,收盤2026-03-11,收盤2026-04-09,報酬%,備註
3167,大量,上市,123.0,119.6,323.0,576.0,78.33,主係因客戶需求量增加所致
6831,邁科,上市,43.9,72.0,292.0,417.5,42.98,業績成長
2337,旺宏,上市,60.0,51.4,99.7,142.0,42.43,受市場需求復甦影響。
7610,聯友金屬-創,上市,252.9,422.7,341.0,452.5,32.70,2月單月及累積合併營收較去年同期分別增加253%及321%，主要在於鎢製品出貨價格較去年同期增加，以及產品品項增加所致。
2383,台光電,上市,45.0,55.5,2450.0,3220.0,31.43,受惠於AI伺服器成長力道
6944,兆聯實業,上市,100.6,51.6,743.0,946.0,27.32,本公司因推進美國專案工程，致本月營收較去年同期明顯成長。
2485,兆赫,上市,84.8,162.7,55.3,69.9,26.40,因客戶端產品驗證通過，正式進入量產與備貨階段，帶動出貨量顯著提升，致使本月營收較去年同期大幅成長。
2360,致茂,上市,86.0,72.1,1495.0,1840.0,23.08,營運穩健成長，訂單能見度高
2368,金像電,上市,53.9,68.5,898.0,1095.0,21.94,接單量增加
8996,高力,上市,205.7,317.2,834.0,1010.0,21.10,115年2月營收較去年同期增加205.73%，主要係板式熱交換器及熱能產品之營業額，較去年同期分別增加23.37%及增加
2305,全友,上市,34.2,41.6,14.6,17.65,20.89,-
3017,奇鋐,上市,74.7,150.0,1860.0,2235.0,20.16,"因客戶需求增加,使營收成長"
3028,增你強,上市,44.5,108.5,50.1,60.2,20.16,"營收較去年同期增加,主要係因記憶體價格持續上漲,客戶需求增加所致。"
8021,尖點,上市,42.5,59.2,242.0,289.0,19.42,"YoY:在市場需求增加與產品結構持續升級的雙重推動下,2026年累積較去年同期增加50.74%。MoM:主要係2月份工作"
2308,台達電,上市,31.0,32.9,1400.0,1645.0,17.50,-
3054,立萬利,上市,751.0,121.9,59.8,68.4,14.38,主係因本期產品結構改變致銷售金額增加。
2345,智邦,上市,82.7,71.9,1485.0,1690.0,13.80,客戶需求增加
6139,亞翔,上市,81.4,87.6,532.0,605.0,13.72,主要係工程進入施工高峰期，致本月營收較去年同期大幅增加。
5522,遠雄,上市,1220.0,2495.5,65.6,73.8,12.50,本月及截至本月累計營收較去年同期增加，主要係交屋量較去年同期完工可交屋成屋量增加所致
3443,創意,上市,60.1,107.8,2375.0,2655.0,11.79,晶圓產品以及委託設計收入增加所致
1235,興泰,上市,807.7,177.2,38.6,43.0,11.40,"泰宇網通累計1-2月營收較去年同期增加 29,491仟元"
2548,華固,上市,19257.4,34609.6,116.0,129.0,11.21,本公司截至02月累計營收較去年同期增加，係因本年度認列交屋金額較高所致。
6531,愛普*,上市,146.7,93.8,441.5,480.5,8.83,因市場需求相對增加所致
2382,廣達,上市,43.2,61.9,289.0,313.0,8.30,產品組合變更
5484,慧友,上市,183.6,138.0,40.25,43.55,8.20,係因有接到代工訂單
2376,技嘉,上市,47.4,57.0,232.0,251.0,8.19,AI訂單需求暢旺
2885,元大金,上市,52.1,110.8,44.35,47.95,8.12,本月營業收入淨額較去年同期增加，主係分離帳戶保險商品資產淨損益增加所致。
4739,康普,上市,192.2,109.0,76.5,82.7,8.10,本月營收及累計營收較去年同期增加，主係動力電池材料銷售增加。
8271,宇瞻,上市,193.8,233.3,144.0,154.5,7.29,本月營收較去年同期增加係因市場價格大幅上漲所致
2465,麗臺,上市,127.4,73.4,55.0,58.9,7.09,本月及本年累計營收較去年本月及去年累計同期分別增加127.43%及97.08%，主係受惠於台灣市場之人工智能應用相關產品
2851,中再保,上市,103.2,103.7,29.05,31.0,6.71,營業收入淨額較去年同期增加，主係淨投資損益增加所致。
1417,嘉裕,上市,41.8,51.5,8.62,9.05,4.99,-
4989,榮科,上市,78.7,170.3,70.7,73.4,3.82,主係銷售量增加及銅價上漲
6177,達麗,上市,554.9,1653.9,45.8,47.0,2.62,本期營收較去年同期上升，主係本期「武東段二」完工過戶所致。
2855,統一證,上市,221.4,373.5,30.6,31.4,2.61,今年單月營收及累計營收較去年同期增加，主因今年泛自營業務操作獲利優於去年同期所致。
1456,怡華,上市,72.5,50.8,13.65,14.0,2.56,本月認列建設收入較去年本月增加所致
